,input,target
26,кроме повестей о которых в письме вашем упоминать изволите иван петрович оставил множество рукописей которые частию у меня находятся частию употреблены его ключницею на разные домашние потребы,S C S S S S S S C S S S S C S S S S C S S S S S S S P
27,таким образом прошлою зимою все окна ее флигеля заклеены были первою частию романа которого он не кончил,S S S S S S S S S S S S C S S S P
28,вышеупомянутые повести были кажется первым его опытом,S S C C S S P
29,они как сказывал иван петрович большею частию справедливы и слышаны им от разных особ,C S S S C S S S S S S S S P
30,однакож имена в них почти все вымышлены им самим а названия сел и деревень заимствованы из нашего околодка отчего и моя деревня где-то упомянута,S S S S S S S S C S S S S S S S S C S S S S S P
31,сие произошло не от злого какого-либо намерения но единственно от недостатка воображения,S S S S S S C S S S S P
32,иван петрович осенью 1828 года занемог простудною лихорадкою обратившеюся в горячку и умер несмотря на неусыпные старания уездного нашего лекаря человека весьма искусного особенно в лечении закоренелых болезней как то мозолей и тому подобного,S S S S S S S C S S C S C S S S S S S C S S C S S S S C S S S S S P
33,он скончался на моих руках на тридцатом году от рождения и похоронен в церкви села горюхина близ покойных его родителей,S S S S S S S S S S S S S S S S S S S P
34,иван петрович был росту среднего глаза имел серые волоса русые нос прямой лицом был бел и худощав,S S S S C S S C S C S C S S S S P
35,вот милостивый государь мой все что мог я припомнить касательно образа жизни занятий нрава и наружности покойного соседа и приятеля моего,C S S C C S S S S S S C C S S S S S S S P
36,но в случае если заблагорассудите сделать из сего моего письма какое-либо употребление всепокорнейше прошу никак имени моего не упоминать ибо хотя я весьма уважаю и люблю сочинителей но в сие звание вступить полагаю излишним и в мои лета неприличным,S S C S S S S S S S S C S S S S S S C S S S S S S S C S S S S S S S S S S S P
37,с истинным моим почтением и проч,S S S S S P
38,1830 году,S P
39,ноября 16село ненарадовопочитая долгом уважить волю почтенного друга автора нашего приносим ему глубочайшую благодарность за доставленные нам известия и надеемся что публика оценит их искренность и добродушие,S S S S S S S S S C S S S S S S S S S C S S S S S S P
40,а п выстрел,S S P
41,мы стояли в местечке,S S S P
42,жизнь армейского офицера известна,S S S P
43,утром ученье манеж обед у полкового командира или в жидовском трактире вечером пунш и карты,S C C S S S S S S S C S S S P
44,в не было ни одного открытого дома ни одной невесты мы собирались друг у друга где кроме своих мундиров не видали ничего,S S S S S S C S S C S S S S C C S S C S S P
45,один только человек принадлежал нашему обществу не будучи военным,S S S S S C S S P
46,ему было около тридцати пяти лет и мы за то почитали его стариком,S S S S S C S S S S S S P
47,опытность давала ему перед нами многие преимущества к тому же его обыкновенная угрюмость крутой нрав и злой язык имели сильное влияние на молодые наши умы,S S S S S S C S S S S S C S S S S S S S S S S S P
48,какая-то таинственность окружала его судьбу он казался русским а носил иностранное имя,S S S S C S S C S S S P
49,некогда он служил в гусарах и даже счастливо никто не знал причины побудившей его выйти в отставку и поселиться в бедном местечке где жил он вместе и бедно и расточительно ходил вечно пешком в изношенном черном сюртуке а держал открытый стол для всех офицеров нашего полка,S S S S C S S C S S S C S S S S S S S S S C S S S S S S S C S S C S S S C S S S S S S S S P
50,правда обед его состоял из двух или трех блюд изготовленных отставным солдатом но шампанское лилось притом рекою,C S S S S S S S C S S C S S S S P
51,никто не знал ни его состояния ни его доходов и никто не осмеливался о том его спрашивать,S S S S S C S S C S S S S S S S P
52,у него водились книги большею частию военные да романы,S S S C S S C S P
53,он охотно давал их читать никогда не требуя их назад зато никогда не возвращал хозяину книги им занятой,S S S S C S S S S C S S S S S C S P
54,главное упражнение его состояло в стрельбе из пистолета,S S S S S S S P
55,стены его комнаты были все источены пулями все в скважинах как соты пчелиные,S S S S S S C S S C S S P
56,богатое собрание пистолетов было единственной роскошью бедной мазанки где он жил,S S S S S S S C S S P
57,искусство до коего достиг он было неимоверно и если б он вызвался пулей сбить грушу с фуражки кого б то ни было никто б в нашем полку не усумнился подставить ему своей головы,C S S S C S C S S S S S S S S S S S S S S C S S S S S S S S S S P
58,разговор между нами касался часто поединков,S S S S S P
59,сильвио никогда в него не вмешивался,S S S S S P
60,на вопрос случалось ли ему драться отвечал он сухо что случалось но в подробности не входил и видно было что таковые вопросы были ему неприятны,S C S S S C S S C S C S S S S C S S C S S S S S P
61,мы полагали что на совести его лежала какая-нибудь несчастная жертва его ужасного искусства,S C S S S S S S S S S S P
62,впрочем нам и в голову не приходило подозревать в нем что-нибудь похожее на робость,C S S S S S S S S S S S S P
63,есть люди коих одна наружность удаляет таковые подозрения,S C S S S S S P
64,нечаянный случай всех нас изумил,S S S S P
65,однажды человек десять наших офицеров обедали у сильвио,S S S S S S S P
66,пили по-обыкновенному то есть очень много после обеда стали мы уговаривать хозяина прометать нам банк,S C S S S C S S S S S S S S P
67,долго он отказывался ибо никогда почти не играл наконец велел подать карты высыпал на стол полсотни червонцев и сел метать,S S C S S S S C S S S C S S S S S S S P
68,мы окружили его и игра завязалась,S S C S S P
69,сильвио имел обыкновение за игрою хранить совершенное молчание никогда не спорил и не объяснялся,S S S S S S S C S S S S S P
70,если понтеру случалось обсчитаться то он тотчас или доплачивал достальное или записывал лишнее,S S S C S S S S S C S S P
71,мы уж это знали и не мешали ему хозяйничать по-своему но между нами находился офицер недавно к нам переведенный,S S S S S S S S S C S S S S C S S S P
72,он играя тут же в рассеянности загнул лишний угол,C S S C S S S S P
73,сильвио взял мел и уравнял счет по своему обыкновению,S S S S S S S S P
74,офицер думая что он ошибся пустился в объяснения,C C S S C S S P
75,сильвио молча продолжал метать,S S S P
76,офицер потеряв терпение взял щетку и стер то что казалось ему напрасно записанным,C S C S S S S C S S S S P
77,сильвио взял мел и записал снова,S S S S S P
78,офицер разгоряченный вином игрою и смехом товарищей почел себя жестоко обиженным и в бешенстве схватив со стола медный шандал пустил его в сильвио который едва успел отклониться от удара,C S C S S S C S S S S C S S S S S S C S S S C S S S S S P
79,мы смутились,S P
80,сильвио встал побледнев от злости и с сверкающими глазами сказал милостивый государь извольте выйти и благодарите бога что это случилось у меня в доме,S C S S C S S S S C S C S C S S C S S S S S S P
81,мы не сомневались в последствиях и полагали нового товарища уже убитым,S S S S S S S S S S P
82,офицер вышел вон сказав что за обиду готов отвечать как будет угодно господину банкомету,S S C C S S S S C S S S S P
83,игра продолжалась еще несколько минут но чувствуя что хозяину было не до игры мы отстали один за другим и разбрелись по квартирам толкуя о скорой ваканции,S S S S C S C S S S S S C S S S S S S S S C S S S P
84,на другой день в манеже мы спрашивали уже жив ли еще бедный поручик как сам он явился между нами мы сделали ему тот же вопрос,S S S S S S S C S S S S C S S S S S C S S S S S P
85,он отвечал что об сильвио он не имел еще никакого известия,S C S S S S S S S S P
86,это нас удивило,S S P
87,мы пошли к сильвио и нашли его на дворе сажающего пулю на пулю в туза приклеенного к воротам,S S S S S S S S C S S S S S C S S P
88,он принял нас по-обыкновенному ни слова не говоря о вчерашнем происшествии,S S S C S S S S S S P
89,прошло три дня поручик был еще жив,S S C S S S P
90,мы с удивлением спрашивали неужели сильвио не будет драться,S S S C S S S S Q
91,сильвио не дрался,S S P
92,он довольствовался очень легким объяснением и помирился,S S S S S S P
93,это было чрезвычайно повредило ему во мнении молодежи,S S S S S S S P
94,недостаток смелости менее всего извиняется молодыми людьми которые в храбрости обыкновенно видят верх человеческих достоинств и извинение всевозможных пороков,S S S S S S C S S S S S S S S S S S P
95,однако ж мало-помалу все было забыто и сильвио снова приобрел прежнее свое влияние,S S S S S C S S S S S S P
96,один я уже не мог к нему приблизиться,S S S S S S S P
97,имея от природы романтическое воображение я всех сильнее прежде сего был привязан к человеку коего жизнь была загадкою и который казался мне героем таинственной какой-то повести,S S S S C S S S S S S S S C S S S S S S S S S S S P
98,он любил меня по крайней мере со мной одним оставлял обыкновенное свое резкое злоречие и говорил о разных предметах с простодушием и необыкновенною приятностью,S S C S S S S S S S S S S S S S S S S S S S S P
99,но после несчастного вечера мысль что честь его была замарана и не омыта по его собственной вине эта мысль меня не покидала и мешала мне обходиться с ним по-прежнему мне было совестно на него глядеть,S S S S C S S S S S S S S S S S C S S S S S S S S S S S C S S S S S P
100,сильвио был слишком умен и опытен чтобы этого не заметить и не угадывать тому причины,S S S S S C S S S S S S S S P
101,казалось это огорчало его по крайней мере я заметил раза два в нем желание со мною объясниться но я избегал таких случаев и сильвио от меня отступился,C S S C S S S S S S S S S S S S C S S S S C S S S S P
102,с тех пор видался я с ним только при товарищах и прежние откровенные разговоры наши прекратились,S S S S S S S S S C S S S S S P
103,рассеянные жители столицы не имеют понятия о многих впечатлениях столь известных жителям деревень или городков например об ожидании почтового дня во вторник и пятницу полковая наша канцелярия бывала полна офицерами кто ждал денег кто письма кто газет,S S S S S S S S C S S S S S C S S S S C S S S S S S S S S C S S C S C S P
104,пакеты обыкновенно тут же распечатывались новости сообщались и канцелярия представляла картину самую оживленную,S S S S C S C S S S S S P
105,сильвио получал письма адресованные в наш полк и обыкновенно тут же находился,S S C S S S C S S S S P
106,однажды подали ему пакет с которого он сорвал печать с видом величайшего нетерпения,S S S C S S S S S S S S P
107,пробегая письмо глаза его сверкали,S C S S P
108,офицеры каждый занятый своими письмами ничего не заметили,C S S S C S S P
109,господа сказал им сильвио обстоятельства требуют немедленного моего отсутствия еду сегодня в ночь надеюсь что вы не откажетесь отобедать у меня в последний раз,C S S C S S S S C S S S C C S S S S S S S S S P
110,я жду и вас продолжал он обратившись ко мне жду непременно,S S S C S C S S C S P
111,с сим словом он поспешно вышел а мы согласясь соединиться у сильвио разошлись каждый в свою сторону,S S S S S C S C S S S C S S S S P
112,я пришел к сильвио в назначенное время и нашел у него почти весь полк,S S S S S S S S S S S S S P
113,все его добро было уже уложено оставались одни голые простреленные стены,S S S S S C S S C S P
114,мы сели за стол хозяин был чрезвычайно в духе и скоро веселость его соделалась общею пробки хлопали поминутно стаканы пенились и шипели беспрестанно и мы со всевозможным усердием желали отъезжающему доброго пути и всякого блага,S S S C S S S S C S S S S S C S S C S S S S C S S S S S S S S S S S P
115,встали из-за стола уже поздно вечером,S S S S S P
116,при разборе фуражек сильвио со всеми прощаясь взял меня за руку и остановил в ту самую минуту как собирался я выйти,S S S C S S C S S S S S S S S S C S S S P
117,мне нужно с вами поговорить сказал он тихо,S S S S C S S P
118,я остался,S P
119,гости ушли мы остались вдвоем сели друг противу друга и молча закурили трубки,S C S S C S S S S S S S P
120,сильвио был озабочен не было уже и следов его судорожной веселости,S S C S S S S S S S P
121,мрачная бледность сверкающие глаза и густой дым выходящий изо рту придавали ему вид настоящего дьявола,S C S S S S C S S C S S S S P
122,прошло несколько минут и сильвио прервал молчание,S S C S S S P
123,может быть мы никогда больше не увидимся сказал он мне перед разлукой я хотел с вами объясниться,S C S S S S C S S C S S S S S S P
124,вы могли заметить что я мало уважаю постороннее мнение но я вас люблю и чувствую мне было бы тягостно оставить в вашем уме несправедливое впечатление,S S C S S S S S C S S S S S C S S S S S S S S S P
125,он остановился и стал набивать выгоревшую свою трубку я молчал потупя глаза,S S S S S S S C S C S P
126,вам было странно продолжал он что я не требовал удовлетворения от этого пьяного сумасброда р,S S C S C S S S S S S S S S P
127,вы согласитесь что имея право выбрать оружие жизнь его была в моих руках а моя почти безопасна я мог бы приписать умеренность одному моему великодушию но не хочу лгать,S C C S S S C S S S S S C S S S C S S S S S S S C S S S P
128,если б я мог наказать р не подвергая вовсе моей жизни то я б ни за что не простил его,S S S S S C S S S S C S S S S S S S S P
129,я смотрел на сильвио с изумлением,S S S S S P
130,таковое признание совершенно смутило меня,S S S S P
131,сильвио продолжал,S P
132,так точно я не имею права подвергать себя смерти,S C S S S S S S P
133,шесть лет тому назад я получил пощечину и враг мой еще жив,S S S S S S C S S S S P
134,любопытство мое сильно было возбуждено,S S S S P
135,вы с ним не дрались спросил я,S S S S C S P
136,обстоятельства верно вас разлучили,C C S Q
137,я с ним дрался отвечал сильвио и вот памятник нашего поединка,S S S C S C S S S S P
138,вы знаете продолжал сильвио что я служил в гусарском полку,S C S C S S S S S P
139,характер мой вам известен я привык первенствовать но смолоду это было во мне страстию,S S S C S S C S S S S S S P
140,в наше время буйство было в моде я был первым буяном по армии,S S S S S S C S S S S S P
141,мы хвастались пьянством я перепил славного бурцова воспетого денисом давыдовым,S S C S S S C S S P
142,дуэли в нашем полку случались поминутно я на всех бывал или свидетелем или действующим лицом,S S S S S C S S S S S C S S P
143,товарищи меня обожали а полковые командиры поминутно сменяемые смотрели на меня как на необходимое зло,S S C S S C S C S S C S S S P
144,я спокойно наслаждался моею славою как определился к нам молодой человек богатой и знатной фамилии,S S S S C S S S S S S S S S P
145,вообразите себе молодость ум красоту веселость самую бешеную храбрость самую беспечную громкое имя деньги которым не знал он счета и которые никогда у него не переводились и представьте себе какое действие должен был он произвести между нами,S S C C C S S C S S C S C C S S S S S S S S S S S C S S C S S S S S S S P
146,первенство мое поколебалось,S S P
147,обольщенный моею славою он стал было искать моего дружества но я принял его холодно и он безо всякого сожаления от меня удалился,S S C S S S S S C S S S S C S S S S S S S P
148,я его возненавидел,S S P
149,успехи его в полку и в обществе женщин приводили меня в совершенное отчаяние,S S S S S S S S S S S S P
150,я стал искать с ним ссоры на эпиграммы мои отвечал он эпиграммами которые всегда казались мне неожиданнее и острее моих и которые конечно не в пример были веселее он шутил а я злобствовал,S S S S S C S S S S S C S S S S S S S S S C C S S S S C S C S S P
151,наконец однажды на бале у польского помещика видя его предметом внимания всех дам и особенно самой хозяйки бывшей со мною в связи я сказал ему на ухо какую-то плоскую грубость,S S S S S S C S S S S S C S S S C S S S S C S S S S S S S P
152,он вспыхнул и дал мне пощечину,S S S S S P
153,мы бросились к саблям дамы попадали в обморок нас растащили и в ту же ночь поехали мы драться,S S S C S S S C S C S S S S S S S P
154,это было на рассвете,S S S P
155,я стоял на назначенном месте с моими тремя секундантами,S S S S S S S S P
156,с неизъяснимым нетерпением ожидал я моего противника,S S S S S S P
157,весеннее солнце взошло и жар уже наспевал,S S C S S S P
158,я увидел его издали,S S S P
159,он шел пешком с мундиром на сабле сопровождаемый одним секундантом,S S C S S S C S S P
160,мы пошли к нему навстречу,S S S S P
161,он приближался держа фуражку наполненную черешнями,S C S C S P
162,секунданты отмерили нам двенадцать шагов,S S S S P
163,мне должно было стрелять первому но волнение злобы во мне было столь сильно что я не понадеялся на верность руки и чтобы дать себе время остыть уступал ему первый выстрел противник мой не соглашался,S S S S C S S S S S S S C S S S S S S S C S S S S C S S S C S S S P
164,положили бросить жребий первый нумер достался ему вечному любимцу счастия,S S C S S S C S S P
165,он прицелился и прострелил мне фуражку,S S S S S P
166,очередь была за мною,S S S P
167,жизнь его наконец была в моих руках я глядел на него жадно стараясь уловить хотя бы одну тень беспокойства,S S S S S S C S S S S C S S S S S S P
168,он стоял под пистолетом выбирая из фуражки спелые черешни и выплевывая косточки которые долетали до меня,S S S C S S S S S S S C S S S P
169,его равнодушие взбесило меня,S S S P
170,что пользы мне подумал я лишить его жизни когда он ею вовсе не дорожит,S S C S C S S C S S S S S Q
171,злобная мысль мелькнула в уме моем,S S S S S P
172,я опустил пистолет,S S P
173,вам кажется теперь не до смерти сказал я ему вы изволите завтракать мне не хочется вам помешать,C C S S S C S S C S S C S S S S P
174,вы ничуть не мешаете мне возразил он извольте себе стрелять а впрочем как вам угодно выстрел ваш остается за вами я всегда готов к вашим услугам,S S S S C S C S S C S C S S C S S S S C S S S S S P
175,я обратился к секундантам объявив что нынче стрелять не намерен и поединок тем и кончился,S S S C C S S S S C S S S S P
176,я вышел в отставку и удалился в это местечко,S S S S S S S S P
177,с тех пор не прошло ни одного дня чтобы я не думал о мщении,S S S S S S S C S S S S S P
178,ныне час мой настал,S S S P
179,сильвио вынул из кармана утром полученное письмо и дал мне его читать,S S S S S S S S S S S P
180,кто-то писал ему из москвы что известная особа скоро должна вступить в законный брак с молодой и прекрасной девушкой,S S S S C S S S S S S S S S S S S S P
181,вы догадываетесь сказал сильвио кто эта известная особа,S C S C S S S P
182,еду в москву,S S P
183,посмотрим так ли равнодушно примет он смерть перед своей свадьбой как некогда ждал ее за черешнями,C S S S S S S S S C S S S S S EX
184,при сих словах сильвио встал бросил об пол свою фуражку и стал ходить взад и вперед по комнате как тигр по своей клетке,S S S S C S S S S S S S S S S S S C S S S S P
185,я слушал его неподвижно странные противуположные чувства волновали меня,S S S C C S S S P
186,слуга вошел и объявил что лошади готовы,S S S C S S P
187,сильвио крепко сжал мне руку мы поцеловались,S S S S C S P
188,он сел в тележку где лежали два чемодана один с пистолетами другой с его пожитками,S S S C S S S C S S C S S S P
189,мы простились еще раз и лошади поскакали,S S S C S S P
190,прошло несколько лет и домашние обстоятельства принудили меня поселиться в бедной деревеньке н уезда,S S C S S S S S S S S S S P
191,занимаясь хозяйством я не переставал тихонько воздыхать о прежней моей шумной и беззаботной жизни,S C S S S S S S S S S S S P
192,всего труднее было мне привыкнуть проводить осенние и зимние вечера в совершенном уединении,S S S S S S S S S S S S P
193,до обеда кое-как еще дотягивал я время толкуя со старостой разъезжая по работам или обходя новые заведения но коль скоро начинало смеркаться я совершенно не знал куда деваться,S S S S S S C S S C S S S S S S C S S S S C S S S S S P
194,малое число книг найденных мною под шкафами и в кладовой были вытвержены мною наизусть,S S C S S S S S S C S S S P
195,все сказки которые только могла запомнить ключница кириловна были мне пересказаны песни баб наводили на меня тоску,S C S S S S S C S S C S S S S S P
196,принялся я было за неподслащенную наливку но от нее болела у меня голова да признаюсь побоялся я сделаться пьяницею с горя т е самым горьким пьяницею чему примеров множество видел я в нашем уезде,S S S S S C S S S S S S C S C S S S S S C S S S S C S S S S S S S P
197,близких соседей около меня не было кроме двух или трех горьких коих беседа состояла большею частию в икоте и воздыханиях,S S S S S C S S S S C S S S S S S S S P
198,уединение было сноснее,S S P
199,в четырех верстах от меня находилось богатое поместье принадлежащее графине б но в нем жил только управитель а графиня посетила свое поместье только однажды в первый год своего замужества и то прожила там не более месяца,S S S S S S S C S S C S S S S S C S S S S S S C S S S S C S S S S S S P
200,однако ж во вторую весну моего затворничества разнесся слух что графиня с мужем приедет на лето в свою деревню,S S S S S S S S C S S S S S S S S S P
201,в самом деле они прибыли в начале июня месяца,S S C S S S S S P
202,приезд богатого соседа есть важная эпоха для деревенских жителей,S S S S S S S S P
203,помещики и их дворовые люди толкуют о том месяца два прежде и года три спустя,S S S S S S S S S S S S S S P
204,что касается до меня то признаюсь известие о прибытии молодой и прекрасной соседки сильно на меня подействовало я горел нетерпением ее увидеть и потому в первое воскресенье по ее приезде отправился после обеда в село рекомендоваться их сиятельствам как ближайший сосед и всепокорнейший слуга,S S S C C C S S S S S S S S S S C S S S S C S S S S S S S S S S S S S S S C S S S S S P
205,лакей ввел меня в графский кабинет а сам пошел обо мне доложить,S S S S S C S S S S S P
206,обширный кабинет был убран со всевозможною роскошью около стен стояли шкафы с книгами и над каждым бронзовый бюст над мраморным камином было широкое зеркало пол обит был зеленым сукном и устлан ковром,S S S S S S C S S S S S C S S S S C S S S S S C S S S S S S S P
