,input,target
33,поселение казаков на бесхозяйном яике могло казаться завоеванием коего важность была очевидна,S S S S S S S C S S S P
34,царь обласкал новых подданных и пожаловал им грамоту на реку яик отдав им ее от вершины до устья и дозволя им набираться на житье вольными людьми,S S S S S S S S S S C S S S S S S S S S S S S S S P
35,число их час от часу умножалось,S S S S S P
36,они продолжали разъезжать по каспийскому морю соединялись там с донскими казаками вместе нападали на торговые персидские суда и грабили приморские селения,S S S S S C S S S S C S S S S S S S S S P
37,шах жаловался царю,S S P
38,из москвы посланы были на дон и на яик увещевательные грамоты,S S S S S S S S S S P
39,казаки на лодках еще нагруженных добычею поехали волгою в нижний-новгород оттоле отправились в москву и явились ко двору с повинною головою каждый неся топор и плаху,S S C S S C S S S C S S S S S S S S S S C S S S S P
40,им велено было ехать в польшу и под ригу заслуживать там свои вины а на яик посланы были стрельцы в последствии времени составившие с казаками одно племя,S S S S S S S S S S S S C S S S S S C S S S S S S S P
41,стенька разин посетил яицкие жилища,S S S S P
42,по свидетельству летописей казаки приняли его как неприятеля,S S C S S S S P
43,городок их был взят сим отважным мятежником а стрельцы там находившиеся побиты или потоплены,S S S S S S C S C S C S S P
44,предание согласное с татарским летописцем относит к тому же времени походы двух яицких атаманов нечая и шамая,C S S S C S S S S S S S S C S S P
45,первый набрав вольницу отправился в хиву в надежде на богатую добычу,C S C S S C S S S S P
46,счастие ему благоприятствовало,S S P
47,совершив трудный путь казаки достигли хивы,S S C S S P
48,хан с войском своим находился тогда на войне,S S S S S S S P
49,нечай овладел городом без всякого препятствия но зажился в нем и поздно выступил в обратный поход,S S S S S C S S S S S S S S S P
50,обремененные добычею казаки были настигнуты возвратившимся ханом и на берегу сыр-дарьи разбиты и истреблены,S C S S S S S S S S S S S P
51,не более трех возвратилось на яик с объявлением о погибели храброго нечая,S S S S S S S S S S S P
52,несколько лет после другой атаман по прозванию шамай пустился по его следам,S S S S C S S C S S S P
53,но он попался в плен степным калмыкам а казаки его отправились далее сбились с дороги на хиву не попали и пришли к аральскому морю на котором принуждены были зимовать,S S S S S S C S S S S C S S C S S S S S S S S C S S S S P
54,их постигнул голод,S S P
55,несчастные бродяги убивали и ели друг друга,S S S S S S P
56,большая часть погибла,S S P
57,остальные послали наконец от себя к хивинскому хану просить чтоб он их принял и спас от голодной смерти,S S S S S S S S C S S S S S S S S P
58,хивинцы приехали за ними забрали всех и отвели рабами в свой город,S S S C S S S S S S S P
59,там они и пропали шамай же несколько лет после привезен был калмыками в яицкое войско вероятно для размена,S S S C S C S S C S S S S S C S S P
60,с тех пор у казаков охота к дальним походам охладела,S S S S S S S S S P
61,они мало-помалу привыкли к жизни семейной и гражданственной,S S S S S S S P
62,яицкие казаки послушно несли службы по наряду московского приказа но дома сохраняли первоначальный образ управления своего,S S S S S S S S C S S S S S S P
63,совершенное равенство прав атаманы и старшины избираемые народом временные исполнители народных постановлений круги или совещания где каждый казак имел свободный голос и где все общественные дела решены были большинством голосов никаких письменных постановлений в куль да в воду за измену трусость убийство и воровство таковы главные черты сего управления,S S C S S C S C S S S C C S C S S S S S S S S S S S S S S C S S C S S S S C S C C S S C S S S S P
64,к простым и грубым учреждениям еще принесенным ими с дона яицкие казаки присовокупляли и другие местные относящиеся к рыболовству главному источнику их богатства и к праву нанимать на службу требуемое число казаков учреждения чрезвычайно сложные и определенные с величайшею утонченностию,S S S S C S S S S C S S S S C C S S C S S S C S S S S S S S S C S S S S S S S P
65,петр великий принял первые меры для введения яицких казаков в общую систему государственного управления,S S S S S S S S S S S S S P
66,в 1720 году яицкое войско отдано было в ведомство военной коллегии,S S S S S S S S S S P
67,казаки возмутились сожгли свой городок с намерением бежать в киргизские степи но были жестоко усмирены полковником захаровым,S C S S S S S S S S C S S S S S P
68,сделана была им перепись определена служба и назначено жалованье,S S S C S S S S P
69,государь сам назначил войскового атамана,S S S S P
70,в царствование анны ивановны и елисаветы петровны правительство хотело исполнить предположения петра,S S S S S S S S S S S P
71,тому благоприятствовали возникшие раздоры между войсковым атаманом меркурьевым и войсковым старшиною логиновым и разделение через то казаков на две стороны атаманскую и логиновскую или народную,S S S S S S S S S S S S S S S S S S S C S S C S P
72,с самого 1762 года стороны логиновской яицкие казаки начали жаловаться на различные притеснения ими претерпеваемые от членов канцелярии учрежденной в войске правительством на удержание определенного жалованья самовольные налоги и нарушение старинных прав и обычаев рыбной ловли,S S S S S S S S S S S S C S S S S C S S S C S S S C S S S S S S S S S P
73,чиновники посылаемые к ним для рассмотрения их жалоб не могли или не хотели их удовлетворить,C S S S S S S C S S S S S S P
74,казаки неоднократно возмущались и генерал-майоры потапов и черепов принуждены были прибегнуть к силе оружия и к ужасу казней,S S C S S S S S S S S S S S S S S P
75,в яицком городке учреждена была следственная комиссия,S S S S S S P
76,в ней присутствовали генерал-майоры потапов черепов бримфельд и давыдов и гвардии капитан чебышев,S S S S C C S S S S S S P
77,войсковой атаман андрей бородин был отставлен на его место выбран петр тамбовцев члены канцелярии осуждены уплатить войску сверх удержанных денег значительную пеню но они умели избегнуть исполнения приговора,S S S S S C S S S S S C S S S S C S S C S C S S S S S P
78,казаки не теряли надежды,S S S P
79,они покушались довести до сведения самой императрицы справедливые свои жалобы,S S S S S S S S S P
80,но тайно посланные от них люди были по повелению президента военной коллегии графа чернышева схвачены в петербурге заключены в оковы и наказаны как бунтовщики,S S S S S S S S S S S S S S S S C S S S S S S P
81,между тем велено было нарядить несколько сот казаков на службу в кизляр,S S S S S S S S S S S P
82,местное начальство воспользовалось и сим случаем дабы новыми притеснениями мстить народу за его супротивления,S S S S S C S S S S S S S P
83,узнали что правительство имело намерение составить из казаков гусарские эскадроны и что уже повелено брить им бороду,C S S S S S S S S S S S S S S S P
84,генерал-майор траубенберг присланный для того в яицкий городок навлек на себя народное негодование,S C S S S S S C S S S S P
85,казаки волновались,S P
86,наконец в 1771 году мятеж обнаружился во всей своей силе,C S S C S S S S S P
87,происшествие не менее важное подало к оному повод,C S S C S S S P
88,между волгой и яиком по необозримым степям астраханским и саратовским кочевали мирные калмыки в начале осьмнадцатого столетия ушедшие от границ китая под покровительство белого царя,S S S C S S S S S C S S C S S S S S S S S S S S P
89,с тех пор они верно служили россии охраняя южные ее границы,S S S S S S C S S S P
90,русские приставы пользуясь их простотою и отдаленностию от средоточия правления начали их угнетать,S C S S S S S S S C S S P
91,жалобы сего смирного и доброго народа не доходили до высшего начальства выведенные из терпения они решились оставить россию и тайно снестись с китайским правительством,S S S S S S S S S S C S S C S S S S S S S S S P
92,им нетрудно было не возбуждая подозрения прикочевать к самому берегу яика,S S C S S C S S S S P
93,и вдруг в числе тридцати тысяч кибиток они перешли на другую сторону и потянулись по киргизской степи к пределам прежнего отечества,S C S S S S C S S S S S S S S S S S S S P
94,правительство спешило удержать неожиданный побег,S S S S P
95,яицкому войску велено было выступить в погоню но казаки не послушались и явно отказались от всякой службы,S S S S S S C S S S S S S S S S P
96,тамошние начальники прибегнули к строжайшим мерам для прекращения мятежа но наказания уже не могли смирить ожесточенных,S S S S S S S S C S S S S S S P
97,13 января 1771 года они собрались на площади взяли из церкви иконы и пошли под предводительством казака кирпичникова в дом гвардии капитана дурнова находившегося в яицком городке по делам следственной комиссии,S S S S S S S C S S S S S C S S S C S S S S C S S S S S S S P
98,они требовали отрешения членов канцелярии и выдачи задержанного жалованья,S S S S S S S S P
99,генерал-майор траубенберг пошел им навстречу с войском и пушками приказывая разойтиться но ни его повеления ни увещания войскового атамана не имели никакого действия,S S S S S S S S C S C S S S C S S S S S S S P
100,траубенберг велел стрелять казаки бросились на пушки,S S C S S S P
101,произошло сражение мятежники одолели,S C S P
102,траубенберг бежал и был убит у ворот своего дома дурнов изранен тамбовцев повешен члены канцелярии посажены под стражу а на место их учреждено новое начальство,S S S S S S S S C S C S C S S S S C S S S S S S P
103,мятежники торжествовали,S P
104,они отправили от себя выборных в петербург дабы объяснить и оправдать кровавое происшествие,S S S S S S C S S S S S P
105,между тем генерал-майор фрейман послан был из москвы для их усмирения с одною ротой гренадер и с артиллерией,S S S S S S S S S S C S S S S S S P
106,фрейман весною прибыл в оренбург где дождался слития рек и взяв с собою две легкие полевые команды и несколько казаков пошел к яицкому городку,S S S S C S S S C C S S S S S S S S S C S S S P
107,мятежники в числе трех тысяч выехали против него оба войска сошлись в семидесяти верстах от города,C S S S C S S C S S S S S S S P
108,3 и 4 июня произошли жаркие сражения,S S S S S S P
109,фрейман картечью открыл себе дорогу,S S S S P
110,мятежники прискакали в свои домы забрали жен и детей и стали переправляться через реку чаган намереваясь бежать к каспийскому морю,S S S S C S S S S S S S S S C S S S S P
111,фрейман вслед за ними вступивший в город успел удержать народ угрозами и увещаниями,C S S S S S C S S S S S P
112,за ушедшими послана погоня и почти все были переловлены,S S S C S S S S P
113,в оренбурге учредилась следственная комиссия под председательством полковника неронова,S S S S S S S S P
114,множество мятежников было туда отправлено,S S S S P
115,в тюрьмах недостало места,S S S P
116,их рассадили по лавкам гостиного и менового дворов,S S S S S S S P
117,прежнее казацкое правление было уничтожено,S S S S P
118,начальство поручено яицкому коменданту подполковнику симонову,S S S C S P
119,в его канцелярии повелено присутствовать войсковому старшине мартемьяну бородину и старшине мостовщикову,S S S S S S S S S S S P
120,сии строгие и необходимые меры восстановили наружный порядок но спокойствие было ненадежно,S S S S S S S C S S S P
121,то ли еще будет говорили прощенные мятежники так ли мы тряхнем москвою,S S S C S S C S S S S P
122,казаки все еще были разделены на две стороны согласную и несогласную,S S S S S S S C S S P
123,тайные совещания происходили по степным уметам и отдаленным хуторам,S S S S S S S S P
124,все предвещало новый мятеж,S S S P
125,недоставало предводителя,S P
126,предводитель сыскался,S P
127,некоторые из ученых яицких казаков почитают себя потомками стрельцов,S S S S S S S S P
128,мнение сие не без основания как увидим ниже,S S S S C S S P
129,самые удовлетворительные исследования о первоначальном поселении яицких казаков находим мы в историческом и статистическом обозрении уральских казаков сочинения а и левшина отличающемся как и прочие произведения автора истинной ученостию и здравой критикою,S S S S S S S S S S S S S S S S C S S S C C S S S S C S S S S P
130,время и образ казачьей жизни лишили нас точных и несомненных сведений о происхождении уральских казаков,S S S S S S S S S S S S S S P
131,все исторические об них известия теперь существующие основаны только на преданиях довольно поздних не совсем определительных и никем критически не разобранных,S S S S C S C S S S C S C S S S S S S S P
132,древнейшее впрочем самое краткое описание сих преданий находим в доношении станичного атамана яикского федора рукавишникова государственной коллегии иностранных дел 1720 года,C S S C S S S S S S S S S S S S S S C S P
133,дополнением и продолжением оного служат:,S S S S S
134,донесение оренбургского губернатора неплюева военной коллегии от 22 ноября 1748 года,S S S S S S S S S S P
135,2 оренбургская история рычкова,S S S P
136,3 его же оренбургская топография,S S S S P
137,4 довольно любопытный рукописный журнал бывшего войскового атамана яикского ивана акутина,S S S S S S S S C S P
138,5 некоторые новейшие акты хранящиеся в архивах уральской войсковой канцелярии и оренбургской пограничной комиссии,S S S C S S S S S S S S S P
139,вот лучшие и почти единственные источники для истории уральских казаков,S S S S S S S S S P
140,то что писали об них иностранцы не может быть сюда причислено ибо большая часть таковых сочинений основана на догадках ничем не доказанных часто противоречащих истине и нелепых,C S S S S C S S S S C S S S S S S S C S S C S S S S P
141,так например сочинитель примечаний на родословную историю татар абулгази баядур-хана утверждает что казаки уральские произошли от древних кипчаков что они пришли в подданство россии вслед за покорением астрахани что они имеют особливый смешанный язык которым говорят со всеми соседними татарами что они могут выставить 30 000 вооруженных воинов что город уральск стоит в 40 верстах от устья урала текущего в каспийское море и пр все сии нелепости которые не заслуживают опровержения для русских приняты однако ж в прочих частях европы за справедливые,C C S S S S S S S S C S S S S S S C S S S S S S S S S C S S S S S C S S S S S C S S S S S S S C S S S S S S S S S C S S S C S S S S C S S S S S C C S C S S S S S P
142,знаменитый пуффендорф и дегинь внесли их к сожалению в свои сочинения,S S S S S C S C S S P
143,возвращаясь к вышеупомянутым пяти источникам нашим и сравнивая их между собою во всех видим ту главную истину что яикские или уральские казаки произошли от донских но о времени поселения их на занимаемых теперь местах не находим положительного и единогласного известия,S S S S S S S S S S C S S S S S C S S S S S S S C S S S S S S S S S S S S S S P
144,неплюев повторяет слова рукавишникова,S S S P
145,рычков в оренбургской истории пишет начало сего яикского войска по известиям от яикских старшин произошло около 1584 года,S S S S C S S S C S S S S C S S S P
146,сие последнее известие основано им на предании полученном в 1748 году от яикского войскового атамана ильи меркурьева которого отец григорий был также войсковым атаманом жил сто лет умер в 1741 году и слышал в молодости от столетней же бабки своей что она будучи лет двадцати от роду знала очень старую татарку по имени гугниху рассказывавшую ей следующее во время тамерлана один донской казак по имени василий гугна с 30 человеками товарищей из казаков же и одним татарином удалился с дона для грабежей на восток сделал лодки пустился на оных в каспийское море дошел до устья урала и найдя окрестности оного необитаемыми поселился в них,S S S S S S C S S S S S S S S S C S C C S S S C S S C S S S S S S S S S S S S C S C S S S S C S S S C S S C S S C S S S S S C S S S C S S S S S S S S S C S S S S S S C S C S S S S S C S S S S C S S S C S S P
147,по прошествии нескольких лет шайка сия напала на скрывшихся близ ее жилища в лесах трех братьев татар из которых младший был женат на ней гугнихе и которые отделились от золотой орды также рассеявшейся потому что тамерлан возвращаясь из россии намеревался напасть на оную,S S S S S S S S S S S S S S S S C S S S S S S C C S S S S S C S S C S C S S C S S S P
148,трех братьев сих казаки побили а ее гугниху взяли в плен и подарили своему атаману,S S S S C S C C S S S S S S P
149,далее после нескольких пустых подробностей та же повествовательница рассказывала что муж ее еще в детстве слыхал о российском городе астрахани что с казаками ее пленившими при ней соединилось много татар золотой орды и русских что они убивали детей своих и пр,C S S S C S S S C S S S S S S S S S S C S S C S C S S S S S S S S C S S S S S S P
150,продолжение ее рассказов сходно с тем что мы будем описывать за истинное но изложенное сейчас начало невзирая на известную ученость полезные труды и обширные сведения рычкова о средней азии и оренбургском крае хронологически невозможно и противно многим несомненным историческим известиям,S S S S S C S S S S S C S S S C S S S C S S S S S S S S S S S C S S S S S S S P
151,поелику же сия повесть принята за единственный и правдоподобнейший источник для истории уральских казаков и поелику она неоднократно повторена в новейших русских и иностранных сочинениях то мы обязанностию почитаем войти в некоторые даже скучные подробности для опровержения оной:,S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S C S S S S S S
152,если атаман григорий меркурьев живший около ста лет умер в 1741 году то он родился в 1641 или близ того времени,S S S C S S S C S S S C S S S S S S S S P
153,столетняя бабка его рассказывавшая ему такую подробную и важную для всякого казака историю и следовательно умершая не прежде как когда ему было лет 15 то есть около 1656 года должна была родиться в 1556 году или хотя в1,S S C S S S S S S S S S S C C S S C S S S S S C S S S S C S S S S S C S S S
154,гугниху же узнала она на 20 году своего возраста то есть около 1570 года,S S S S S S S S C S S S S P
155,муж гугнихи в малых летах слыхал от стариков что от реки яика не очень далеко есть российские города астрахань и другие,S S S S S S S C S S S S S S S S S S S S P
156,таковое предположение ближе к истине и как увидим сейчас согласно с прочими известиями о начале уральских казаков,S S S S S C S S C S S S S S S S P
157,и гугниха и рукавишников и рычков в истории оренбургской и предания мною самим слышанные в уральске и гурьеве единогласно говорят что уральские казаки происходят от донских,S C S C S S S S C S C S S S S S S C S C S S S S S P
158,даже если принять что они составляют один и тот же народ с азовскими казаками то и о сих последних как пишет г карамзин летописи в первый раз упоминают уже в 1499 году то есть с лишком чрез сто лет после нашествия тамерлана,S S C S S S S S S S S S S C S S S S C S S S C S S S S S S S S C S S S S S S S S S P
159,как же могла горсть буйных казаков не только пробраться чрез такое большое расстояние и чрез тысячи неприятелей но даже поселиться между ими и грабить их,S S S S S S S S S S S S S S S S C S S S S S S S Q
160,миллер известный своими изысканиями и сведениями в истории нашей говорит пока татары южными российского государства странами владели о российских казаках ничего не слышно было,C S S S S S S S C C S S S S S S C S S S S S S P
161,показав несправедливость повести помещенной рычковым в оренбургской топографии примем первые его об уральском казачьем войске известия напечатанные в оренбургской истории дополним оные сведениями заключающимися в помянутых доношениях рукавишникова и неплюева и преданиями мною самим собранными на урале сообразим их с сочинениями знаменитейших писателей и предложим читателям следующее историческое обозрение уральских казаков,S S C S S S S C S S S S S S S C S S S C S S C S S S S S S C S S S S S S C S S S S S S S S S S S S S P
162,грамота сия не сохранилась,S S S P
163,старые казаки говорили рычкову что оная сгорела во время бывшего пожара,S S S C S S S S S S P
164,не только сия грамота говорит г левшин без которой нельзя точно определить начала подданства уральских казаков россии но и многие другие данные им царями михаилом феодоровичем алексеем михайловичем и феодором алексеевичем сгорели,S S S C S S C S S S S S S S S S C S S S C S S S S C S S S S C P
165,древнейший и единственный акт найденный неплюевым в яикской войсковой избе была грамота царей петра и иоанна алексеевичей 1684 года где упоминается о прежних службах войска со времен михаила,S S S C S S S S S C S S S S S S C S C S S S S S S S S P
166,с 1655 то есть с первой службы уральских казаков против поляков и шведов до 1681 года нет известий о походах их,S C S S S S S S S S S S C S S S S S S S P
167,в 1681 и 1682 годах служили триста казаков под чигирином,S S S S S S S S S P
168,в 1683 послано было из них 500 человек к мензелинску для усмирения бунтовавших башкирцев за что сверх жалованья деньгами и сукном повелено было снабжать их артиллерийскими снарядами,S S S S S S S S S S S S S C S C S S S S C S S S S S P
169,со времен петра великого они были употребляемы в большой части главных военных действий россии как-то в 1696 под азовом в 1701 1703 1704 и 1707 против шведов в 1708 году 1225 казаков были опять посланы для усмирения башкирцев в 1711 году 1500 человек на кубань в 1717 году 1500 казаков пошли с князем бековичем-черкасским в хиву и так далее,S S S S S S S S S S S S S C C S S S C S C C S S S S C S S S S S S S S S S C S S S S S S C S S S S S S S S S S C S S P
170,в те ж времена из казаков яицкого войска некто по прозванию нечай собрав себе в компанию 500 человек взял намерение идти в хиву уповая быть там великому богатству и получить себе знатную добычу,S S S S S S S S C S S C S S S S S C S S S S C S S S S S S S S S P
171,со оными отправился он по яику-реке вверх и будучи у гор называемых ныне дьяковыми от нынешнего городка вверх яика 30 верст остановился и по казачьему обыкновению учинил совет или круг для рассуждения о том своем предприятии и чтоб изобрать человека для показания прямого и удобнейшего туда тракту,S S S S S S S C S S C S S C S S S S S S C S S S S S S C S C S S S S S S S S S S S S S S S S P
172,когда в кругу учинен был о том доклад тогда дьяк его или писарь выступя стал представлять коль отважно и не сходно оное их предприятие изъясняя что путь будет степной незнакомый провианта с ними не довольно да и самих их на такое великое дело малолюдно,S S S S S S S C S S C S C C S C S S S S S S S C C S S S C C S S S S C S S S S S S S S P
173,помянутый нечай от сего дьякова представления так много рассердился и в такую запальчивость пришел что не выходя из того круга приказал его повесить почему он тогда ж и повешен а оные горы прозваны и поныне именуются дьяковыми,S S S S S S S S S S S S S C C S S S S C S S C S S S S S C S S S S S S S P
174,отправясь он нечай в путь свой с теми казаками до хивы способно дошел и подступя под нее в такое время когда хивинский хан со всем своим войском был на войне в других тамошних сторонах а в городе хиве кроме малых и престарелых никого почти не было без всякого труда и препятствия городом и всем тамошним богатством завладел а ханских жен в полон побрал из которых одну он нечай сам себе взял и при себе ее содержал,S C C S S S S S C S S S C C S S S S S C S S S S S S S S S S S S S C S S S C S S S C S S S C S S S S S S S S S S C S S S S S C S S S C C S S S S S S S P
