,input,target
88,батюшка сказал мне прощай петр,S S C C P
89,служи верно кому присягнешь слушайся начальников за их лаской не гоняйся на службу не напрашивайся от службы не отговаривайся и помни пословицу береги платье снову а честь смолоду,S C S C S C S S S S C S S S C S S S C S S C S S C S S P
90,матушка в слезах наказывала мне беречь мое здоровье а савельичу смотреть за дитятей,S S S S S S S C S S S S P
91,надели на меня заячий тулуп а сверху лисью шубу,S S S S C S S S P
92,я сел в кибитку с савельичем и отправился в дорогу обливаясь слезами,S S S S S S S S S C S P
93,в ту же ночь приехал я в симбирск где должен был пробыть сутки для закупки нужных вещей что и было поручено савельичу,S S S S S S S C S S S S S S S S C S S S S P
94,я остановился в трактире,S S S P
95,савельич с утра отправился по лавкам,S S S S S P
96,соскуча глядеть из окна на грязный переулок я пошел бродить по всем комнатам,S S S S S S C S S S S S P
97,вошед в биллиардную увидел я высокого барина лет тридцати пяти с длинными черными усами в халате с кием в руке и с трубкой в зубах,S S C S S S S S S C S S S C S C S S S S S S S S P
98,он играл с маркером который при выигрыше выпивал рюмку водки а при проигрыше должен был лезть под биллиард на четверинках,S S S C S S S S S C S S S S S S S S S P
99,я стал смотреть на их игру,S S S S S P
100,чем долее она продолжалась тем прогулки на четверинках становились чаще пока наконец маркер остался под биллиардом,S S S C S S S S S C S S S S S P
101,барин произнес над ним несколько сильных выражений в виде надгробного слова и предложил мне сыграть партию,S S S S S S S S S S S S S S S P
102,я отказался по неумению,S S S P
103,это показалось ему по-видимому странным,S S C C P
104,он поглядел на меня как бы с сожалением однако мы разговорились,S S S S S S S C S S P
105,я узнал что его зовут иваном ивановичем зуриным что он ротмистр гусарского полку и находится в симбирске при приеме рекрут а стоит в трактире,S C S S S S S C S S S S S S S S S S S C S S S P
106,зурин пригласил меня отобедать с ним вместе чем бог послал по-солдатски,S S S S S S S S S C P
107,я с охотою согласился,S S S P
108,мы сели за стол,S S S P
109,зурин пил много и потчевал и меня говоря что надобно привыкать ко службе он рассказывал мне армейские анекдоты от которых я со смеху чуть не валялся и мы встали из-за стола совершенными приятелями,S S S S S S C C S S S S C S S S S C S S S S S S S C S S S S S S P
110,тут вызвался он выучить меня играть на биллиарде,S S S S S S S P
111,это говорил он необходимо для нашего брата служивого,C S C S S S S P
112,в походе например придешь в местечко чем прикажешь заняться,S C C S S C S S Q
113,ведь не все же бить жидов,S S S S S P
114,поневоле пойдешь в трактир и станешь играть на биллиарде а для того надобно уметь играть,S S S S S S S S C S S S S S EX
115,я совершенно был убежден и с большим прилежанием принялся за учение,S S S S S S S S S S P
116,зурин громко ободрял меня дивился моим быстрым успехам и после нескольких уроков предложил мне играть в деньги по одному грошу не для выигрыша а так чтоб только не играть даром что по его словам самая скверная привычка,S S S C S S S S C S S C S S S S C S S C S S C S C S S S S C C S S C S S P
117,я согласился и на то а зурин велел подать пуншу и уговорил меня попробовать повторяя что к службе надобно мне привыкать а без пуншу что и служба,S S S S C S S S S S S S S C C S S S S S C S S S S S EX
118,я послушался его,S S P
119,между тем игра наша продолжалась,S S S S P
120,чем чаще прихлебывал я от моего стакана тем становился отважнее,S S S S S S C S S P
121,шары поминутно летали у меня через борт я горячился бранил маркера который считал бог ведает как час от часу умножал игру словом вел себя как мальчишка вырвавшийся на волю,S S S S S S C S C S C S S S S C S S S S C C S S S C S S P
122,между тем время прошло незаметно,S S S S P
123,зурин взглянул на часы положил кий и объявил мне что я проиграл сто рублей,S S S C S S S S C S S S S P
124,это меня немножко смутило,S S S P
125,деньги мои были у савельича,S S S S P
126,я стал извиняться,S S P
127,зурин меня прервал помилуй,S S C EX
128,не изволь и беспокоиться,S S S P
129,я могу и подождать а покамест поедем к аринушке,S S S C S S S S P
130,что прикажете,S Q
131,день я кончил так же беспутно как и начал,S S S S S C S S P
132,мы отужинали у аринушки,S S S P
133,зурин поминутно мне подливал повторяя что надобно к службе привыкать,S S S C C S S S S P
134,встав из-за стола я чуть держался на ногах в полночь зурин отвез меня в трактир,S S C S S S S C S S S S S S P
135,савельич встретил нас на крыльце,S S S S P
136,он ахнул увидя несомненные признаки моего усердия к службе,S C S S S S S S P
137,что это сударь с тобою сделалось сказал он жалким голосом где ты это нагрузился,S C C S S C S S S C S S S Q
138,ахти господи отроду такого греха не бывало,S C S S S S EX
139,молчи хрыч отвечал я ему запинаясь ты верно пьян пошел спать и уложи меня,C C S S C C C C C S S S S P
140,на другой день я проснулся с головною болью смутно припоминая себе вчерашние происшествия,S S S S S S S C S S S S P
141,размышления мои прерваны были савельичем вошедшим ко мне с чашкою чая,S S S S C S S S S S P
142,рано петр андреич сказал он мне качая головою рано начинаешь гулять,C S C S S C S C S S P
143,и в кого ты пошел,S S S S Q
144,кажется ни батюшка ни дедушка пьяницами не бывали о матушке и говорить нечего отроду кроме квасу в рот ничего не изволили брать,C S C S S S S C S S S S C C S C S S S S S P
145,а кто всему виноват проклятый мусье,S S S C S P
146,то и дело бывало к антипьевне забежит мадам же ву при водкю,S S C C S S C C S S C P
147,вот тебе и же ву при,S S S S S EX
148,нечего сказать добру наставил собачий сын,S C S C S P
149,и нужно было нанимать в дядьки басурмана как будто у барина не стало и своих людей,S S S S S S C S S S S S S S S EX
150,мне было стыдно,S S P
151,я отвернулся и сказал ему поди вон савельич я чаю не хочу,S S S S C S C C S S S P
152,но савельича мудрено было унять когда бывало примется за проповедь,S S S S C C C S S P
153,вот видишь ли петр андреич каково подгуливать,S S C S C S P
154,и головке-то тяжело и кушать-то не хочется,S S C S S S P
155,человек пьющий ни на что не годен,S S S S S S P
156,выпей-ка огуречного рассолу с медом а всего бы лучше опохмелиться полстаканчиком настойки,S S S S C S S S S S S P
157,не прикажешь ли,S S Q
158,в это время мальчик вошел и подал мне записку от и и зурина,S S S S S S S S S S S S P
159,я развернул ее и прочел следующие строки любезный петр андреевич пожалуйста пришли мне с моим мальчиком сто рублей которые ты мне вчера проиграл,S S S S S S C S S C S S S S S S S C S S S S P
160,мне крайняя нужда в деньгах,S S S S P
161,готовый ко услугам иван зурин,S S S S P
162,делать было нечего,S S P
163,я взял на себя вид равнодушный и обратясь к савельичу который был и денег и белья и дел моих рачитель приказал отдать мальчику сто рублей,S S S S S S C S S C S S S C S C S S S C S S S S P
164,как зачем спросил изумленный савельич,C C S S P
165,я их ему должен отвечал я со всевозможной холодностию,S S S C S S S S P
166,должен возразил савельич час от часу приведенный в большее изумление да когда же сударь успел ты ему задолжать,C S C S S S S S S C S S C C S S S Q
167,дело что-то не ладно,S S S P
168,воля твоя сударь а денег я не выдам,S C C S S S S P
169,я подумал что если в сию решительную минуту не переспорю упрямого старика то уж в последствии времени трудно мне будет освободиться от его опеки и взглянув на него гордо сказал я твой господин а ты мой слуга,S C S S S S S S S S S C S S S S S S S S S S S C C S S S C C S S C S S S P
170,деньги мои,S P
171,я их проиграл потому что так мне вздумалось,S S C S S S S P
172,а тебе советую не умничать и делать то что тебе приказывают,S S S S S S S C S S P
173,савельич так был поражен моими словами что сплеснул руками и остолбенел,S S S S S C S S S S P
174,что же ты стоишь закричал я сердито,S S S C S S P
175,савельич заплакал,S P
176,батюшка петр андреич произнес он дрожащим голосом не умори меня с печали,S S C S S S C S S S S P
177,свет ты мой послушай меня старика напиши этому разбойнику что ты пошутил что у нас и денег-то таких не водится,S S C S C C S S C S S C S S S S S S S P
178,сто рублей,S EX
179,боже ты милостивый,S S EX
180,скажи что тебе родители крепко-накрепко заказали не играть окроме как в орехи,C S S S S S S C S S S P
181,полно врать прервал я строго подавай сюда деньги или я тебя взашей прогоню,S C S S C S S S S S S S P
182,савельич поглядел на меня с глубокой горестью и пошел за моим долгом,S S S S S S S S S S S P
183,мне было жаль бедного старика но я хотел вырваться на волю и доказать что уж я не ребенок,S S S S C S S S S S S S C S S S S P
184,деньги были доставлены зурину,S S S P
185,савельич поспешил вывезти меня из проклятого трактира,S S S S S S P
186,он явился с известием что лошади готовы,S S S C S S P
187,с неспокойной совестию и с безмолвным раскаянием выехал я из симбирска не простясь с моим учителем и не думая с ним уже когда-нибудь увидеться,S S S S S S S S S S C S S S S S S S S S S S S P
188,1 чтобы стать учителем,S S S P
189,дорожные размышления мои были не очень приятны,S S S S S S P
190,проигрыш мой по тогдашним ценам был немаловажен,S C S S C S P
191,я не мог не признаться в душе что поведение мое в симбирском трактире было глупо и чувствовал себя виноватым перед савельичем,S S S S S S C S S S S S S S C S S S S S P
192,все это меня мучило,S S S P
193,старик угрюмо сидел на облучке отворотясь от меня и молчал изредка только покрякивая,S S S S C S S C S C S S P
194,я непременно хотел с ним помириться и не знал с чего начать,S S S S S S S S S S S P
195,наконец я сказал ему ну ну савельич полно помиримся виноват вижу сам что виноват,S S S C C C C C C C S C S P
196,я вчера напроказил а тебя напрасно обидел,S S C S S S P
197,обещаюсь вперед вести себя умнее и слушаться тебя,S S S S S S S P
198,ну не сердись помиримся,C S C P
199,эх батюшка петр андреич отвечал он с глубоким вздохом,C S S C S S S S P
200,сержусь-то я на самого себя сам я кругом виноват,S S S S C S S S P
201,как мне было оставлять тебя одного в трактире,S S S S S S S EX
202,что делать,S Q
203,грех попутал вздумал забрести к дьячихе повидаться с кумою,S C S S S C S S P
204,так-то зашел к куме да засел в тюрьме,C S S C S S S P
205,беда да и только,S S S EX
206,как покажусь я на глаза господам что скажут они как узнают что дитя пьет и играет,S S S S S C S S C S C S S S S P
207,чтоб утешить бедного савельича я дал ему слово впредь без его согласия не располагать ни одною копейкою,S S S C S S S S S S S S S S S S P
208,он мало-помалу успокоился хотя все еще изредка ворчал про себя качая головою сто рублей легко ли дело,S S C S S S S S S C S C S C S S EX
209,я приближался к месту моего назначения,S S S S S P
210,вокруг меня простирались печальные пустыни пересеченные холмами и оврагами,S S S S C S S S P
211,все покрыто было снегом,S S S P
212,солнце садилось,S P
213,кибитка ехала по узкой дороге или точнее по следу проложенному крестьянскими санями,S S S S C S S S C S S P
214,вдруг ямщик стал посматривать в сторону и наконец сняв шапку оборотился ко мне и сказал барин не прикажешь ли воротиться,S S S S S S S C S C S S S S C C S S S Q
215,это зачем,S Q
216,время ненадежно ветер слегка подымается вишь как он сметает порошу,S C S S C C S S S P
217,что ж за беда,S S S EX
218,а видишь там что,S S S Q
219,ямщик указал кнутом на восток,S S S S P
220,я ничего не вижу кроме белой степи да ясного неба,S S S C S S S S S P
221,а вон вон это облачко,S C C S P
222,я увидел в самом деле на краю неба белое облачко которое принял было сперва за отдаленный холмик,S S S S S S S S S C S S S S S S P
223,ямщик изъяснил мне что облачко предвещало буран,S S C S S S P
224,я слыхал о тамошних метелях и знал что целые обозы бывали ими занесены,S S S S S S C S S S S S P
225,савельич согласно со мнением ямщика советовал воротиться,C S S S C S P
226,но ветер показался мне не силен я понадеялся добраться заблаговременно до следующей станции и велел ехать скорее,S S S S S C S S S S S S S S S S P
227,ямщик поскакал но все поглядывал на восток,S C S S S S P
228,лошади бежали дружно,S S P
229,ветер между тем час от часу становился сильнее,S S S S S S S P
230,облачко обратилось в белую тучу которая тяжело подымалась росла и постепенно облегала небо,S S S S C S S C S S S S P
231,пошел мелкий снег и вдруг повалил хлопьями,S S C S S S P
232,ветер завыл сделалась метель,S C S P
233,в одно мгновение темное небо смешалось со снежным морем,S S S S S S S S P
234,все исчезло,S P
235,ну барин закричал ямщик беда буран,C C S C C EX
236,я выглянул из кибитки все было мрак и вихорь,S S S C S S S S P
237,ветер выл с такой свирепой выразительностию что казался одушевленным снег засыпал меня и савельича лошади шли шагом и скоро стали,S S S S S C S S C S S S S C S S C S S P
238,что же ты не едешь спросил я ямщика с нетерпением,S S S S C S S S S P
239,да что ехать отвечал он слезая с облучка невесть и так куда заехали дороги нет и мгла кругом,S S C S C S S C S S S S C S C S S P
240,я стал было его бранить,S S S S P
241,савельич за него заступился,S S S P
242,и охота было не слушаться говорил он сердито воротился бы на постоялый двор накушался бы чаю почивал бы себе до утра буря б утихла отправились бы далее,S S S S C S S C S S S S C S S C S S S S C S S C S S P
243,и куда спешим,S S Q
244,добро бы на свадьбу,S S S EX
245,савельич был прав,S S P
246,делать было нечего,S S P
247,снег так и валил,S S S P
248,около кибитки подымался сугроб,S S S P
249,лошади стояли понуря голову и изредка вздрагивая,S C S S S S P
250,ямщик ходил кругом от нечего делать улаживая упряжь,S S C S S S S P
251,савельич ворчал я глядел во все стороны надеясь увидеть хоть признак жила или дороги но ничего не мог различить кроме мутного кружения метели,S C S S S S C S S S S S S C S S S S C S S S P
252,вдруг увидел я что-то черное,S S S S P
253,эй ямщик закричал я смотри что там такое чернеется,C C S C C S S S Q
254,ямщик стал всматриваться,S S P
255,а бог знает барин сказал он садясь на свое место воз не воз дерево не дерево а кажется что шевелится,S S C C S C S S S C S S C S S C S C S P
256,должно быть или волк или человек,S C S C S P
257,я приказал ехать на незнакомый предмет который тотчас и стал подвигаться нам навстречу,S S S S S C S S S S S S P
258,через две минуты мы поравнялись с человеком,S S S S S S P
259,гей добрый человек закричал ему ямщик,C S C S S P
260,скажи не знаешь ли где дорога,C S S S S Q
261,дорога-то здесь я стою на твердой полосе отвечал дорожный да что толку,S C S S S S C S C S S Q
262,послушай мужичок сказал я ему знаешь ли ты эту сторону,C C S S C S S S S Q
263,возьмешься ли ты довести меня до ночлега,S S S S S S Q
264,сторона мне знакомая отвечал дорожный слава богу исхожена и изъезжена вдоль и поперек,S S C S C S C S S S S S P
265,да вишь какая погода как раз собьешься с дороги,C C S C S S S S P
266,лучше здесь остановиться да переждать авось буран утихнет да небо прояснится тогда найдем дорогу по звездам,S S S S C S S S S S C S S S S P
267,его хладнокровие ободрило меня,S S S P
268,я уж решился предав себя божией воле ночевать посреди степи как вдруг дорожный сел проворно на облучок и сказал ямщику ну слава богу жило недалеко сворачивай вправо да поезжай,S S C S S S C S S C S S S S S S S S S C C S C S C S S S P
269,а почему мне ехать вправо спросил ямщик с неудовольствием,S S S S C S S S P
270,где ты видишь дорогу,S S S Q
271,небось лошади чужие хомут не свой погоняй не стой,C S C S S C S S P
272,ямщик казался мне прав,S S S P
273,в самом деле сказал я почему думаешь ты что жило недалече,S S C S C S S C S S Q
274,а потому что ветер оттоле потянул отвечал дорожный и я слышу дымом пахнуло знать деревня близко,S C S S S C S C S S C S C C S P
275,сметливость его и тонкость чутья меня изумили,S S S S S S P
276,я велел ямщику ехать,S S S P
277,лошади тяжело ступали по глубокому снегу,S S S S S P
278,кибитка тихо подвигалась то въезжая на сугроб то обрушаясь в овраг и переваливаясь то на одну то на другую сторону,S S C S S S C S S S S S S S S C S S S P
279,это похоже было на плавание судна по бурному морю,S S S S S S S S P
280,савельич охал поминутно толкаясь о мои бока,S C S S S S P
281,я опустил циновку закутался в шубу и задремал убаюканный пением бури и качкою тихой езды,S S C S S S S C S S S S S S P
282,мне приснился сон которого никогда не мог я позабыть и в котором до сих пор вижу нечто пророческое когда соображаю с ним странные обстоятельства моей жизни,S S C S S S S S S S S S S S S S S C S S S S S S S P
283,читатель извинит меня ибо вероятно знает по опыту как сродно человеку предаваться суеверию несмотря на всевозможное презрение к предрассудкам,S S C C C S S C S S S S C S S S S S P
284,я находился в том состоянии чувств и души когда существенность уступая мечтаниям сливается с ними в неясных видениях первосония,S S S S S S S C S C S C S S S S S S P
285,мне казалось буран еще свирепствовал и мы еще блуждали по снежной пустыне,S C S S S S S S S S S P
286,вдруг увидел я вороты и въехал на барский двор нашей усадьбы,S S S S S S S S S S P
287,первою мыслию моею было опасение чтобы батюшка не прогневался на меня за невольное возвращение под кровлю родительскую и не почел бы его умышленным ослушанием,S S S S C S S S S S S S S S S S S S S S S S S P
288,с беспокойством я выпрыгнул из кибитки и вижу матушка встречает меня на крыльце с видом глубокого огорчения,S S S S S S S C S S S S S S S S P
289,тише говорит она мне отец болен при смерти и желает с тобою проститься,C S S C S S S S S S S S P
290,пораженный страхом я иду за нею в спальню,S C S S S S S P
291,вижу комната слабо освещена у постели стоят люди с печальными лицами,C S S C S S S S S S P
292,я тихонько подхожу к постеле матушка приподымает полог и говорит андрей петрович петруша приехал он воротился узнав о твоей болезни благослови его,S S S S C S S S S C S C S C S C S S S C S P
293,я стал на колени и устремил глаза мои на больного,S S S S S S S S S P
294,что ж,S Q
295,вместо отца моего вижу в постеле лежит мужик с черной бородою весело на меня поглядывая,S S S S S S S S S S C S S S P
296,я в недоумении оборотился к матушке говоря ей что это значит,S S S S S C S C S S Q
297,это не батюшка,S S P
298,и к какой мне стати просить благословения у мужика,S S S S S S S S Q
299,все равно петруша отвечала мне матушка это твой посажёный отец поцелуй у него ручку и пусть он тебя благословит,S C C S S C S S S C S S S C S S S S P
300,я не соглашался,S S P
301,тогда мужик вскочил с постели выхватил топор из-за спины и стал махать во все стороны,S S S S C S S S S S S S S S P
302,я хотел бежать и не мог комната наполнилась мертвыми телами я спотыкался о тела и скользил в кровавых лужах,S S S S S C S S S C S S S S S S S S P
303,страшный мужик ласково меня кликал говоря не бойсь подойди под мое благословение,S S S S C C S C S S S P
304,ужас и недоумение овладели мною,S S S S P
305,и в эту минуту я проснулся лошади стояли,S S S S S C S P
