,input,target
53,в ту же ночь приехал я в симбирск где должен был пробыть сутки для закупки нужных вещей что и было поручено савельичу,S S S S S S S C S S S S S S S S C S S S S P
54,соскуча глядеть из окна на грязный переулок я пошел бродить по всем комнатам,S S S S S S C S S S S S P
55,вошед в биллиардную увидел я высокого барина лет тридцати пяти с длинными черными усами в халате с кием в руке и с трубкой в зубах,S S C S S S S S S C S S S C S C S S S S S S S S P
56,он играл с маркером который при выигрыше выпивал рюмку водки а при проигрыше должен был лезть под биллиард на четверинках,S S S C S S S S S C S S S S S S S S S P
57,чем долее она продолжалась тем прогулки на четверинках становились чаще пока наконец маркер остался под биллиардом,S S S C S S S S S C S S S S S P
58,это показалось ему по-видимому странным,S S C C P
59,он поглядел на меня как бы с сожалением однако мы разговорились,S S S S S S S C S S P
60,я узнал что его зовут иваном ивановичем зуриным что он ротмистр гусарского полку и находится в симбирске при приеме рекрут а стоит в трактире,S C S S S S S C S S S S S S S S S S S C S S S P
61,зурин пригласил меня отобедать с ним вместе чем бог послал по-солдатски,S S S S S S S S S C P
62,это говорил он необходимо для нашего брата служивого,C S C S S S S P
63,в походе например придешь в местечко чем прикажешь заняться,S C C S S C S S Q
64,поневоле пойдешь в трактир и станешь играть на биллиарде а для того надобно уметь играть,S S S S S S S S C S S S S S EX
65,чем чаще прихлебывал я от моего стакана тем становился отважнее,S S S S S S C S S P
66,зурин взглянул на часы положил кий и объявил мне что я проиграл сто рублей,S S S C S S S S C S S S S P
67,зурин меня прервал помилуй,S S C EX
68,я могу и подождать а покамест поедем к аринушке,S S S C S S S S P
69,день я кончил так же беспутно как и начал,S S S S S C S S P
70,зурин поминутно мне подливал повторяя что надобно к службе привыкать,S S S C C S S S S P
71,встав из-за стола я чуть держался на ногах в полночь зурин отвез меня в трактир,S S C S S S S C S S S S S S P
72,он ахнул увидя несомненные признаки моего усердия к службе,S C S S S S S S P
73,что это сударь с тобою сделалось сказал он жалким голосом где ты это нагрузился,S C C S S C S S S C S S S Q
74,ахти господи отроду такого греха не бывало,S C S S S S EX
75,молчи хрыч отвечал я ему запинаясь ты верно пьян пошел спать и уложи меня,C C S S C C C C C S S S S P
76,на другой день я проснулся с головною болью смутно припоминая себе вчерашние происшествия,S S S S S S S C S S S S P
77,размышления мои прерваны были савельичем вошедшим ко мне с чашкою чая,S S S S C S S S S S P
78,рано петр андреич сказал он мне качая головою рано начинаешь гулять,C S C S S C S C S S P
79,кажется ни батюшка ни дедушка пьяницами не бывали о матушке и говорить нечего отроду кроме квасу в рот ничего не изволили брать,C S C S S S S C S S S S C C S C S S S S S P
80,а кто всему виноват проклятый мусье,S S S C S P
81,то и дело бывало к антипьевне забежит мадам же ву при водкю,S S C C S S C C S S C P
82,нечего сказать добру наставил собачий сын,S C S C S P
83,и нужно было нанимать в дядьки басурмана как будто у барина не стало и своих людей,S S S S S S C S S S S S S S S EX
84,я отвернулся и сказал ему поди вон савельич я чаю не хочу,S S S S C S C C S S S P
85,но савельича мудрено было унять когда бывало примется за проповедь,S S S S C C C S S P
86,вот видишь ли петр андреич каково подгуливать,S S C S C S P
87,и головке-то тяжело и кушать-то не хочется,S S C S S S P
88,выпей-ка огуречного рассолу с медом а всего бы лучше опохмелиться полстаканчиком настойки,S S S S C S S S S S S P
89,я развернул ее и прочел следующие строки любезный петр андреевич пожалуйста пришли мне с моим мальчиком сто рублей которые ты мне вчера проиграл,S S S S S S C S S C S S S S S S S C S S S S P
90,я взял на себя вид равнодушный и обратясь к савельичу который был и денег и белья и дел моих рачитель приказал отдать мальчику сто рублей,S S S S S S C S S C S S S C S C S S S C S S S S P
91,как зачем спросил изумленный савельич,C C S S P
92,я их ему должен отвечал я со всевозможной холодностию,S S S C S S S S P
93,должен возразил савельич час от часу приведенный в большее изумление да когда же сударь успел ты ему задолжать,C S C S S S S S S C S S C C S S S Q
94,воля твоя сударь а денег я не выдам,S C C S S S S P
95,я их проиграл потому что так мне вздумалось,S S C S S S S P
96,а тебе советую не умничать и делать то что тебе приказывают,S S S S S S S C S S P
97,савельич так был поражен моими словами что сплеснул руками и остолбенел,S S S S S C S S S S P
98,что же ты стоишь закричал я сердито,S S S C S S P
99,батюшка петр андреич произнес он дрожащим голосом не умори меня с печали,S S C S S S C S S S S P
100,свет ты мой послушай меня старика напиши этому разбойнику что ты пошутил что у нас и денег-то таких не водится,S S C S C C S S C S S C S S S S S S S P
101,скажи что тебе родители крепко-накрепко заказали не играть окроме как в орехи,C S S S S S S C S S S P
102,полно врать прервал я строго подавай сюда деньги или я тебя взашей прогоню,S C S S C S S S S S S S P
103,мне было жаль бедного старика но я хотел вырваться на волю и доказать что уж я не ребенок,S S S S C S S S S S S S C S S S S P
104,он явился с известием что лошади готовы,S S S C S S P
105,с неспокойной совестию и с безмолвным раскаянием выехал я из симбирска не простясь с моим учителем и не думая с ним уже когда-нибудь увидеться,S S S S S S S S S S C S S S S S S S S S S S S P
106,проигрыш мой по тогдашним ценам был немаловажен,S C S S C S P
107,я не мог не признаться в душе что поведение мое в симбирском трактире было глупо и чувствовал себя виноватым перед савельичем,S S S S S S C S S S S S S S C S S S S S P
108,старик угрюмо сидел на облучке отворотясь от меня и молчал изредка только покрякивая,S S S S C S S C S C S S P
109,наконец я сказал ему ну ну савельич полно помиримся виноват вижу сам что виноват,S S S C C C C C C C S C S P
110,я вчера напроказил а тебя напрасно обидел,S S C S S S P
111,ну не сердись помиримся,C S C P
112,эх батюшка петр андреич отвечал он с глубоким вздохом,C S S C S S S S P
113,сержусь-то я на самого себя сам я кругом виноват,S S S S C S S S P
114,грех попутал вздумал забрести к дьячихе повидаться с кумою,S C S S S C S S P
115,так-то зашел к куме да засел в тюрьме,C S S C S S S P
116,как покажусь я на глаза господам что скажут они как узнают что дитя пьет и играет,S S S S S C S S C S C S S S S P
117,чтоб утешить бедного савельича я дал ему слово впредь без его согласия не располагать ни одною копейкою,S S S C S S S S S S S S S S S S P
118,он мало-помалу успокоился хотя все еще изредка ворчал про себя качая головою сто рублей легко ли дело,S S C S S S S S S C S C S C S S EX
119,вокруг меня простирались печальные пустыни пересеченные холмами и оврагами,S S S S C S S S P
120,кибитка ехала по узкой дороге или точнее по следу проложенному крестьянскими санями,S S S S C S S S C S S P
121,вдруг ямщик стал посматривать в сторону и наконец сняв шапку оборотился ко мне и сказал барин не прикажешь ли воротиться,S S S S S S S C S C S S S S C C S S S Q
122,время ненадежно ветер слегка подымается вишь как он сметает порошу,S C S S C C S S S P
123,я ничего не вижу кроме белой степи да ясного неба,S S S C S S S S S P
124,а вон вон это облачко,S C C S P
125,я увидел в самом деле на краю неба белое облачко которое принял было сперва за отдаленный холмик,S S S S S S S S S C S S S S S S P
126,ямщик изъяснил мне что облачко предвещало буран,S S C S S S P
127,я слыхал о тамошних метелях и знал что целые обозы бывали ими занесены,S S S S S S C S S S S S P
128,савельич согласно со мнением ямщика советовал воротиться,C S S S C S P
129,но ветер показался мне не силен я понадеялся добраться заблаговременно до следующей станции и велел ехать скорее,S S S S S C S S S S S S S S S S P
130,ямщик поскакал но все поглядывал на восток,S C S S S S P
131,облачко обратилось в белую тучу которая тяжело подымалась росла и постепенно облегала небо,S S S S C S S C S S S S P
132,пошел мелкий снег и вдруг повалил хлопьями,S S C S S S P
133,ветер завыл сделалась метель,S C S P
134,ну барин закричал ямщик беда буран,C C S C C EX
135,я выглянул из кибитки все было мрак и вихорь,S S S C S S S S P
136,ветер выл с такой свирепой выразительностию что казался одушевленным снег засыпал меня и савельича лошади шли шагом и скоро стали,S S S S S C S S C S S S S C S S C S S P
137,что же ты не едешь спросил я ямщика с нетерпением,S S S S C S S S S P
138,да что ехать отвечал он слезая с облучка невесть и так куда заехали дороги нет и мгла кругом,S S C S C S S C S S S S C S C S S P
139,лошади стояли понуря голову и изредка вздрагивая,S C S S S S P
140,ямщик ходил кругом от нечего делать улаживая упряжь,S S C S S S S P
141,савельич ворчал я глядел во все стороны надеясь увидеть хоть признак жила или дороги но ничего не мог различить кроме мутного кружения метели,S C S S S S C S S S S S S C S S S S C S S S P
142,эй ямщик закричал я смотри что там такое чернеется,C C S C C S S S Q
143,а бог знает барин сказал он садясь на свое место воз не воз дерево не дерево а кажется что шевелится,S S C C S C S S S C S S C S S C S C S P
144,должно быть или волк или человек,S C S C S P
145,я приказал ехать на незнакомый предмет который тотчас и стал подвигаться нам навстречу,S S S S S C S S S S S S P
146,гей добрый человек закричал ему ямщик,C S C S S P
147,скажи не знаешь ли где дорога,C S S S S Q
148,дорога-то здесь я стою на твердой полосе отвечал дорожный да что толку,S C S S S S C S C S S Q
149,послушай мужичок сказал я ему знаешь ли ты эту сторону,C C S S C S S S S Q
150,сторона мне знакомая отвечал дорожный слава богу исхожена и изъезжена вдоль и поперек,S S C S C S C S S S S S P
151,да вишь какая погода как раз собьешься с дороги,C C S C S S S S P
152,лучше здесь остановиться да переждать авось буран утихнет да небо прояснится тогда найдем дорогу по звездам,S S S S C S S S S S C S S S S P
153,а почему мне ехать вправо спросил ямщик с неудовольствием,S S S S C S S S P
154,небось лошади чужие хомут не свой погоняй не стой,C S C S S C S S P
155,в самом деле сказал я почему думаешь ты что жило недалече,S S C S C S S C S S Q
156,а потому что ветер оттоле потянул отвечал дорожный и я слышу дымом пахнуло знать деревня близко,S C S S S C S C S S C S C C S P
157,кибитка тихо подвигалась то въезжая на сугроб то обрушаясь в овраг и переваливаясь то на одну то на другую сторону,S S C S S S C S S S S S S S S C S S S P
158,савельич охал поминутно толкаясь о мои бока,S C S S S S P
159,я опустил циновку закутался в шубу и задремал убаюканный пением бури и качкою тихой езды,S S C S S S S C S S S S S S P
160,читатель извинит меня ибо вероятно знает по опыту как сродно человеку предаваться суеверию несмотря на всевозможное презрение к предрассудкам,S S C C C S S C S S S S C S S S S S P
161,я находился в том состоянии чувств и души когда существенность уступая мечтаниям сливается с ними в неясных видениях первосония,S S S S S S S C S C S C S S S S S S P
162,мне казалось буран еще свирепствовал и мы еще блуждали по снежной пустыне,S C S S S S S S S S S P
163,первою мыслию моею было опасение чтобы батюшка не прогневался на меня за невольное возвращение под кровлю родительскую и не почел бы его умышленным ослушанием,S S S S C S S S S S S S S S S S S S S S S S S P
164,с беспокойством я выпрыгнул из кибитки и вижу матушка встречает меня на крыльце с видом глубокого огорчения,S S S S S S S C S S S S S S S S P
165,тише говорит она мне отец болен при смерти и желает с тобою проститься,C S S C S S S S S S S S P
166,пораженный страхом я иду за нею в спальню,S C S S S S S P
167,вижу комната слабо освещена у постели стоят люди с печальными лицами,C S S C S S S S S S P
168,я тихонько подхожу к постеле матушка приподымает полог и говорит андрей петрович петруша приехал он воротился узнав о твоей болезни благослови его,S S S S C S S S S C S C S C S C S S S C S P
169,вместо отца моего вижу в постеле лежит мужик с черной бородою весело на меня поглядывая,S S S S S S S S S S C S S S P
170,я в недоумении оборотился к матушке говоря ей что это значит,S S S S S C S C S S Q
171,все равно петруша отвечала мне матушка это твой посажёный отец поцелуй у него ручку и пусть он тебя благословит,S C C S S C S S S C S S S C S S S S P
172,тогда мужик вскочил с постели выхватил топор из-за спины и стал махать во все стороны,S S S S C S S S S S S S S S P
173,я хотел бежать и не мог комната наполнилась мертвыми телами я спотыкался о тела и скользил в кровавых лужах,S S S S S C S S S C S S S S S S S S P
174,страшный мужик ласково меня кликал говоря не бойсь подойди под мое благословение,S S S S C C S C S S S P
175,и в эту минуту я проснулся лошади стояли,S S S S S C S P
176,савельич дергал меня за руку говоря выходи сударь приехали,S S S S C C C C P
177,куда приехали спросил я протирая глаза,S C S C S P
178,господь помог наткнулись прямо на забор,S C S S S P
179,выходи сударь скорее да обогрейся,C C S S P
180,буран еще продолжался хотя с меньшею силою,S S C S S S P
181,было так темно что хоть глаз выколи,S S C S S S P
182,хозяин встретил нас у ворот держа фонарь под полою и ввел меня в горницу тесную но довольно чистую лучина освещала ее,S S S S C S S S C S S S S C C S S C S S P
183,хозяин родом яицкий казак казался мужик лет шестидесяти еще свежий и бодрый,C S S C S S S C S S S P
184,савельич внес за мною погребец потребовал огня чтоб готовить чай который никогда так не казался мне нужен,S S S S C S C S S C S S S S S S P
185,где же вожатый спросил я у савельича,S S C S S S P
186,здесь ваше благородие отвечал мне голос сверху,C S C S S S P
187,что брат прозяб,C C Q
188,был тулуп да что греха таить заложил вечор у целовальника мороз показался не велик,S C S S S C S S S C S S S P
189,в эту минуту хозяин вошел с кипящим самоваром я предложил вожатому нашему чашку чаю мужик слез с полатей,S S S S S S S C S S S S S C S S S P
190,наружность его показалась мне замечательна он был лет сорока росту среднего худощав и широкоплеч,S S S S C S S S C S C S S P
191,в черной бороде его показывалась проседь живые большие глаза так и бегали,S S S S S C S S S S S P
192,лицо его имело выражение довольно приятное но плутовское,S S S S S C S P
193,волоса были обстрижены в кружок на нем был оборванный армяк и татарские шаровары,S S S S C S S S S S S S P
194,я поднес ему чашку чаю он отведал и поморщился,S S S S C S S S P
195,ваше благородие сделайте мне такую милость прикажите поднести стакан вина чай не наше казацкое питье,S C S S S C S S S C S S S S P
196,хозяин вынул из ставца штоф и стакан подошел к нему и взглянув ему в лицо эхе сказал он опять ты в нашем краю,S S S S S S C S S S C S S S C C S C S S S S EX
197,вожатый мой мигнул значительно и отвечал поговоркою в огород летал конопли клевал швырнула бабушка камушком да мимо,S S S S S S C S S C S C S S C S P
198,ну а что ваши,C S S Q
199,да что наши отвечал хозяин продолжая иносказательный разговор,S S C S C S S P
200,стали было к вечерне звонить да попадья не велит поп в гостях черти на погосте,S S S S C S S S C S S C S S P
201,молчи дядя возразил мой бродяга будет дождик будут и грибки а будут грибки будет и кузов,C C S S C S C S S C S S C S S P
202,а теперь заткни топор за спину лесничий ходит,S S S S S C S P
203,ваше благородие за ваше здоровье,S C S S EX
204,при сих словах он взял стакан перекрестился и выпил одним духом,S S S S S C S S S S P
205,он посматривал с подозрением то на хозяина то на вожатого,S S S S S S C S S P
206,постоялый двор или по-тамошнему умет находился в стороне в степи далече от всякого селения и очень походил на разбойническую пристань,S C C C C S S C S C S S S C S S S S S P
207,савельич решился убраться на печь хозяин лег на полу,S S S S C S S S P
208,скоро вся изба захрапела и я заснул как убитый,S S S C S S S S P
209,проснувшись поутру довольно поздно я увидел что буря утихла,S S S C S C S S P
210,я позвал вожатого благодарил за оказанную помочь и велел савельичу дать ему полтину на водку,S S C S S S S S S S S S S S P
211,полтину на водку сказал он за что это,S S C S C S S Q
212,за то что ты же изволил подвезти его к постоялому двору,S C S S S S S S S S Q
213,воля твоя сударь нет у нас лишних полтин,S C C S S S S P
214,всякому давать на водку так самому скоро придется голодать,S S S C S S S S P
215,деньги по моему обещанию находились в полном его распоряжении,C S S C S S S S P
216,мне было досадно однако ж что не мог отблагодарить человека выручившего меня если не из беды то по крайней мере из очень неприятного положения,S S C S C S S S S C S S S S S C S S S S S S S P
217,хорошо сказал я хладнокровно если не хочешь дать полтину то вынь ему что-нибудь из моего платья,C S S C S S S S C S S S S S S P
218,помилуй батюшка петр андреич сказал савельич,C S S C S P
219,он его пропьет собака в первом кабаке,S S C C S S P
220,это старинушка уж не твоя печаль сказал мой бродяга пропью ли я или нет,C C S S S C S S C S S S S P
221,его благородие мне жалует шубу со своего плеча его на то барская воля а твое холопье дело не спорить и слушаться,S S S S S S S C S S S S C S S S S S S S P
222,бога ты не боишься разбойник отвечал ему савельич сердитым голосом,S S S C C S S S S P
223,ты видишь что дитя еще не смыслит а ты и рад его обобрать простоты его ради,S C S S S S C S S S S S C S S P
224,прошу не умничать сказал я своему дядьке сейчас неси сюда тулуп,S S C S S S C S S S P
225,господи владыко простонал мой савельич,S C S S P
226,заячий тулуп почти новешенький и добро бы кому а то пьянице оголелому,S S S C S S S C S S S EX
227,в самом деле тулуп из которого успел и я вырасти был немножко для него узок,S S S C S S S S S C S S S S P
228,однако он кое-как умудрился и надел его распоров по швам,S S S S S S C S S P
229,савельич чуть не завыл услышав как нитки затрещали,S S S C C S S P
230,он проводил меня до кибитки и сказал с низким поклоном спасибо ваше благородие,S S S S S S S S S C C S EX
231,приехав в оренбург я прямо явился к генералу,S S C S S S S P
232,я увидел мужчину росту высокого но уже сгорбленного старостию,S S S S C S S S P
233,старый полинялый мундир напоминал воина времен анны иоанновны а в его речи сильно отзывался немецкий выговор,S S S S S S S C S S S S S S S P
234,при имени его он взглянул на меня быстро поже мой сказал он,S S S S S S S C S C S P
235,тавно ли кажется андрей петрович был еще твоих лет а теперь вот уш какой у него молотец,S C C S S S S S C S S S S S S S EX
236,ах фремя фремя,C C EX
237,он распечатал письмо и стал читать его вполголоса делая свои замечания,S S S S S S S C S S P
238,милостивый государь андрей карлович надеюсь что ваше превосходительство,S S S C C S S P
239,фуй как ему не софестно,C S S S EX
240,конечно дисциплина перво дело но так ли пишут к старому камрад,C S S C S S S S S S Q
241,эхе брудер так он еще помнит стары наши проказ,C C S S S S S S Q
242,это должно быть русска поговорк,C S C S P
243,что такое дершать в ешовых рукавицах повторил он обращаясь ко мне,S S S S S C S C S S P
244,это значит отвечал я ему с видом как можно более невинным обходиться ласково не слишком строго давать побольше воли держать в ежовых рукавицах,S C S S S S S S S S C S C S S C S S C S S S P
245,и не давать ему воли нет видно ешовы рукавицы значит не то,S S S S S C S S S S S P
246,хорошо хорошо все будет сделано,C C S S P
247,позволишь без чинов обнять себя и старым товарищем и другом а наконец догадался и прочая и прочая,S S S S S S S S S C C S S S S S P
248,там ты будешь на службе настоящей научишься дисциплине,S S S S S C S P
249,в оренбурге делать тебе нечего рассеяние вредно молодому человеку,S S S S C S S S P
250,а сегодня милости просим отобедать у меня,S S S C S S P
251,час от часу не легче подумал я про себя к чему послужило мне то что еще в утробе матери я был уже гвардии сержантом,S S S S C S S S C S S S S C S S S S S S S S S EX
252,я отобедал у андрея карловича втроем с его старым адъютантом,S S S S C S S S S P
253,река еще не замерзала и ее свинцовые волны грустно чернели в однообразных берегах покрытых белым снегом,S S S C S S S S S S S S C S S P
254,я погрузился в размышления большею частию печальные,S S S C S S P
255,далече ли до крепости спросил я у своего ямщика,S S S C S S S S P
256,недалече отвечал он,C S P
257,я глядел во все стороны ожидая увидеть грозные бастионы башни и вал но ничего не видал кроме деревушки окруженной бревенчатым забором,S S S S C S S S C S S C S S S C S C S S P
258,с одной стороны стояли три или четыре скирда сена полузанесенные снегом с другой скривившаяся мельница с лубочными крыльями лениво опущенными,S S S S S S S S C S C S C S C S S C S P
259,где же крепость спросил я с удивлением,S S C S S S P
260,да вот она отвечал ямщик указывая на деревушку и с этим словом мы в нее въехали,S S C S C S S C S S S S S S S P
261,у ворот увидел я старую чугунную пушку улицы были тесны и кривы избы низки и большею частию покрыты соломою,S S S S S S C S S S S C S S S S S S P
262,я велел ехать к коменданту и через минуту кибитка остановилась перед деревянным домиком выстроенным на высоком месте близ деревянной же церкви,S S S S C S S S S S S S C S S S C S S S P
263,старый инвалид сидя на столе нашивал синюю заплату на локоть зеленого мундира,S C S S C S S S S S S P
264,войди батюшка отвечал инвалид наши дома,C C S C S P
265,я вошел в чистенькую комнатку убранную по-старинному,S S S S C S P
266,она разматывала нитки которые держал распялив на руках кривой старичок в офицерском мундире,S S C S C S S C S S S S P
267,что вам угодно батюшка спросила она продолжая свое занятие,S S C C S C S S P
268,ивана кузмича дома нет сказала она он пошел в гости к отцу герасиму да все равно батюшка я его хозяйка,S S S C S C S S S S S S C S S C C S S P
269,смею спросить сказал он вы в каком полку изволили служить,S C S C S S S S S Q
270,а смею спросить продолжал он зачем изволили вы перейти из гвардии в гарнизон,S S C S C S S S S S S S Q
271,я отвечал что такова была воля начальства,S C S S S S P
272,чаятельно за неприличные гвардии офицеру поступки продолжал неутомимый вопрошатель,C S S S S C S S P
273,полно врать пустяки сказала ему капитанша ты видишь молодой человек с дороги устал ему не до тебя,S S C S S C S C S S S S C S S S P
274,а ты мой батюшка продолжала она обращаясь ко мне не печалься что тебя упекли в наше захолустье,S C S C S C S S C S C S S S S S P
275,не ты первый не ты последний,S S C S S P
