,input,input_lemma,new_target
23,наконец батюшка швырнул календарь на диван и погрузился в задумчивость не предвещавшую ничего доброго,наконец батюшка швырнуть календарь на диван и погрузиться в задумчивость не предвещать ничто добрый,S S S S S S S S S C S S S F
24,вдруг он обратился к матушке авдотья васильевна а сколько лет петруше,вдруг он обратиться к матушка авдотья василиевич а сколько год петруша,S S S S C S C S S S F
25,да вот пошел семнадцатый годок отвечала матушка,да вот пойти семнадцатый годок отвечать матушка,S S S S C S F
26,петруша родился в тот самый год как окривела тетушка настасья гарасимовна и когда еще,петруша родиться в тот самый год как окриветь тетушка настасья гарасимович и когда еще,S S S S S C S S S S C S S F
27,добро прервал батюшка пора его в службу,добро прервать батюшка пора он в служба,C S C S S S F
28,мысль о скорой разлуке со мною так поразила матушку что она уронила ложку в кастрюльку и слезы потекли по ее лицу,мысль о скорый разлука с я так поразить матушка что она уронить ложка в кастрюлька и слеза потечь по ее лицо,S S S S S S S S C S S S S S C S S S S S F
29,напротив того трудно описать мое восхищение,напротив тот трудный описать мой восхищение,S C S S S F
30,мысль о службе сливалась во мне с мыслями о свободе об удовольствиях петербургской жизни,мысль о служба сливаться в я с мысль о свобода о удовольствие петербургский жизнь,S S S S S S S S S C S S S F
31,я воображал себя офицером гвардии что по мнению моему было верхом благополучия человеческого,я воображать себя офицер гвардия что по мнение мой быть верхом благополучие человеческий,S S S S C C S S C S S S F
32,батюшка не любил ни переменять свои намерения ни откладывать их исполнение,батюшка не любить ни переменять свой намерение ни откладывать они исполнение,S S S S S S C S S S F
33,накануне батюшка объявил что намерен писать со мною к будущему моему начальнику и потребовал пера и бумаги,накануне батюшка объявить что намеренный писать с я к будущий мой начальник и потребовать перо и бумага,S S C S S S S S S S S C S S S S F
34,не забудь андрей петрович сказала матушка поклониться и от меня князю б я дескать надеюсь что он не оставит петрушу своими милостями,не забыть андрей петрович сказать матушка поклониться и от я князь б я дескать надеяться что он не оставить петрушу свой милость,S C S C S C S S S S S C C C C S S S S S S F
35,что за вздор отвечал батюшка нахмурясь,что за вздор отвечать батюшка нахмурясь,S S C S S F
36,да ведь ты сказал что изволишь писать к начальнику петруши,да ведь ты сказать что изволишь писать к начальник петруша,S S S C S S S S S F
37,ну а там что,ну а там что,C S S F
38,да ведь начальник петрушин князь б ведь петруша записан в семеновский полк,да ведь начальник петрушин князь б ведь петруша записать в семеновский полк,S S S C S S S S S S S F
39,а мне какое дело что он записан,а я какой дело что он записать,S S S C S S F
40,чему научится он служа в петербурге мотать да повесничать,что научиться он служа в петербург мотать да повесничать,S S C S S C S S F
41,нет пускай послужит он в армии да потянет лямку да понюхает пороху да будет солдат а не шаматон,нет пускай послужить он в армия да потянуть лямка да понюхает порох да быть солдат а не шаматон,C S S S S C S S C S S C S S C S S F
42,где его пашпорт подай его сюда,где он пашпорт подать он сюда,S S C S S F
43,матушка отыскала мой паспорт хранившийся в ее шкатулке вместе с сорочкою в которой меня крестили и вручила его батюшке дрожащею рукою,матушка отыскать мой паспорт храниться в ее шкатулка вместе с сорочка в который я крестить и вручить он батюшка дрожать рука,S S S C S S S S S S C S S S C S S S S S F
44,батюшка прочел его со вниманием положил перед собою на стол и начал свое письмо,батюшка прочесть он с внимание положить перед себя на стол и начать свой письмо,S S S S C S S S S S S S S F
45,любопытство меня мучило куда ж отправляют меня если уж не в петербург,любопытство я мучить куда ж отправлять я если уж не в петербург,S S C S S S C S S S S F
46,я не сводил глаз с пера батюшкина которое двигалось довольно медленно,я не сводить глаз с перо батюшкин который двигаться довольно медленно,S S S S S S C S S S F
47,итак все мои блестящие надежды рушились,итак весь мой блестящий надежда рушиться,C S S S S F
48,служба о которой за минуту думал я с таким восторгом показалась мне тяжким несчастием,служба о который за минута думать я с такой восторг показаться я тяжкий несчастие,C S S S S S S S S C S S S F
49,батюшка сказал мне прощай петр,батюшка сказать я прощать петр,S S C C F
50,матушка в слезах наказывала мне беречь мое здоровье а савельичу смотреть за дитятей,матушка в слеза наказывать я беречь мой здоровье а савельичу смотреть за дитя,S S S S S S S C S S S S F
51,надели на меня заячий тулуп а сверху лисью шубу,надеть на я заячий тулуп а сверху лисий шуба,S S S S C S S S F
52,я сел в кибитку с савельичем и отправился в дорогу обливаясь слезами,я сесть в кибитка с савельич и отправиться в дорога обливаться слеза,S S S S S S S S S C S F
53,в ту же ночь приехал я в симбирск где должен был пробыть сутки для закупки нужных вещей что и было поручено савельичу,в тот же ночь приехать я в симбирск где должный быть пробыть сутки для закупка нужный вещь что и быть поручить савельич,S S S S S S S C S S S S S S S S C S S S S F
54,соскуча глядеть из окна на грязный переулок я пошел бродить по всем комнатам,соскучить глядеть из окно на грязный переулок я пойти бродить по весь комната,S S S S S S C S S S S S F
55,вошед в биллиардную увидел я высокого барина лет тридцати пяти с длинными черными усами в халате с кием в руке и с трубкой в зубах,вошед в биллиардный увидеть я высокий барин год тридцать пять с длинный черный ус в халат с кий в рука и с трубка в зуб,S S C S S S S S S C S S S C S C S S S S S S S S F
56,он играл с маркером который при выигрыше выпивал рюмку водки а при проигрыше должен был лезть под биллиард на четверинках,он играть с маркер который при выигрыш выпивать рюмка водка а при проигрыш должный быть лезть под биллиард на четверинк,S S S C S S S S S C S S S S S S S S S F
57,чем долее она продолжалась тем прогулки на четверинках становились чаще пока наконец маркер остался под биллиардом,чем долее она продолжаться тема прогулка на четверинк становиться частый пока наконец маркер остаться под биллиард,S S S C S S S S S C S S S S S F
58,это показалось ему по-видимому странным,это показаться он по-видимому странный,S S C C F
59,он поглядел на меня как бы с сожалением однако мы разговорились,он поглядеть на я как бы с сожаление однако мы разговориться,S S S S S S S C S S F
60,я узнал что его зовут иваном ивановичем зуриным что он ротмистр гусарского полку и находится в симбирске при приеме рекрут а стоит в трактире,я узнать что он звать иван иванович зурин что он ротмистр гусарский полк и находиться в симбирск при прием рекрут а стоить в трактир,S C S S S S S C S S S S S S S S S S S C S S S F
61,зурин пригласил меня отобедать с ним вместе чем бог послал по-солдатски,зурин пригласить я отобедать с он вместе что бог послать по-солдатски,S S S S S S S S S C F
62,это говорил он необходимо для нашего брата служивого,это говорить он необходимый для наш брат служивый,C S C S S S S F
63,в походе например придешь в местечко чем прикажешь заняться,в поход например прийти в местечко чем приказать заняться,S C C S S C S S F
64,поневоле пойдешь в трактир и станешь играть на биллиарде а для того надобно уметь играть,поневоле пойти в трактир и стать играть на биллиард а для тот надобно уметь играть,S S S S S S S S C S S S S S F
65,чем чаще прихлебывал я от моего стакана тем становился отважнее,чем частый прихлебывать я от мой стакан тот становиться отважнее,S S S S S S C S S F
66,зурин взглянул на часы положил кий и объявил мне что я проиграл сто рублей,зурин взглянуть на час положить кий и объявить я что я проиграть сто рубль,S S S C S S S S C S S S S F
67,зурин меня прервал помилуй,зурин я прервать помиловать,S S C F
68,я могу и подождать а покамест поедем к аринушке,я мочь и подождать а покамест поехать к аринушка,S S S C S S S S F
69,день я кончил так же беспутно как и начал,день я кончить так же беспутный как и начать,S S S S S C S S F
70,зурин поминутно мне подливал повторяя что надобно к службе привыкать,зурина поминутно я подливал повторять что надобно к служба привыкать,S S S C C S S S S F
71,встав из-за стола я чуть держался на ногах в полночь зурин отвез меня в трактир,встать из-за стол я чуть держаться на нога в полночь зурин отвезти я в трактир,S S C S S S S C S S S S S S F
72,он ахнул увидя несомненные признаки моего усердия к службе,он ахнуть увидеть несомненный признак мой усердие к служба,S C S S S S S S F
73,что это сударь с тобою сделалось сказал он жалким голосом где ты это нагрузился,что это сударь с ты сделалось сказать он жалкий голос где ты это нагрузиться,S C C S S C S S S C S S S F
74,ахти господи отроду такого греха не бывало,ахти господь отроду такой грех не бывать,S C S S S S F
75,молчи хрыч отвечал я ему запинаясь ты верно пьян пошел спать и уложи меня,молчать хрыч отвечать я он запинаться ты верно пьяный пойти спать и уложить я,C C S S C C C C C S S S S F
76,на другой день я проснулся с головною болью смутно припоминая себе вчерашние происшествия,на другой день я проснуться с головной боль смутно припоминая себя вчерашний происшествие,S S S S S S S C S S S S F
77,размышления мои прерваны были савельичем вошедшим ко мне с чашкою чая,размышление мой прервать быть савельикать войти к я с чашка чай,S S S S C S S S S S F
78,рано петр андреич сказал он мне качая головою рано начинаешь гулять,рано петр андреевич сказать он я качать голова рано начинать гулять,C S C S S C S C S S F
79,кажется ни батюшка ни дедушка пьяницами не бывали о матушке и говорить нечего отроду кроме квасу в рот ничего не изволили брать,казаться ни батюшка ни дедушка пьяница не бывать о матушка и говорить нечего отроду кроме квас в рот ничто не изволить брать,C S C S S S S C S S S S C C S C S S S S S F
80,а кто всему виноват проклятый мусье,а кто весь виноватый проклятый мусие,S S S C S F
81,то и дело бывало к антипьевне забежит мадам же ву при водкю,то и дело бывать к антипиевич забежать мадам же ву при водкю,S S C C S S C C S S C F
82,нечего сказать добру наставил собачий сын,нечего сказать добру наставить собачий сын,S C S C S F
83,и нужно было нанимать в дядьки басурмана как будто у барина не стало и своих людей,и нужный быть нанимать в дядька басурмана как будто у барин не стать и свой человек,S S S S S S C S S S S S S S S F
84,я отвернулся и сказал ему поди вон савельич я чаю не хочу,я отвернуться и сказать он поди вон савельич я чай не хотеть,S S S S C S C C S S S F
85,но савельича мудрено было унять когда бывало примется за проповедь,но савельич мудрено быть унять когда бывать приняться за проповедь,S S S S C C C S S F
86,вот видишь ли петр андреич каково подгуливать,вот видеть ли петр андреевич каков подгуливать,S S C S C S F
87,и головке-то тяжело и кушать-то не хочется,и головке-то тяжело и кушать-то не хотеться,S S C S S S F
88,выпей-ка огуречного рассолу с медом а всего бы лучше опохмелиться полстаканчиком настойки,выпить-ка огуречный рассол с мед а всего бы хороший опохмелиться полстаканчиком настойка,S S S S C S S S S S S F
89,я развернул ее и прочел следующие строки любезный петр андреевич пожалуйста пришли мне с моим мальчиком сто рублей которые ты мне вчера проиграл,я развернуть она и прочесть следующий строка любезный петр андреевич пожалуйста прийти я с мой мальчик сто рубль который ты я вчера проиграть,S S S S S S C S S C S S S S S S S C S S S S F
90,я взял на себя вид равнодушный и обратясь к савельичу который был и денег и белья и дел моих рачитель приказал отдать мальчику сто рублей,я взять на себя вид равнодушный и обратясь к савельич который быть и деньга и белье и дело мой рачитель приказать отдать мальчик сто рубль,S S S S S S C S S C S S S C S C S S S C S S S S F
91,как зачем спросил изумленный савельич,как зачем спросить изумленный савельич,C C S S F
92,я их ему должен отвечал я со всевозможной холодностию,я они он должный отвечать я с всевозможный холодность,S S S C S S S S F
93,должен возразил савельич час от часу приведенный в большее изумление да когда же сударь успел ты ему задолжать,должный возразить савельич час от час привести в больший изумление да когда же сударь успеть ты он задолжать,C S C S S S S S S C S S C C S S S F
94,воля твоя сударь а денег я не выдам,воля твой сударь а деньга я не выдать,S C C S S S S F
95,я их проиграл потому что так мне вздумалось,я они проиграть потому что так я вздуматься,S S C S S S S F
96,а тебе советую не умничать и делать то что тебе приказывают,а ты советовать не умничать и делать тот что ты приказывать,S S S S S S S C S S F
97,савельич так был поражен моими словами что сплеснул руками и остолбенел,савельич так быть поразить мой слово что сплеснул рука и остолбенел,S S S S S C S S S S F
98,что же ты стоишь закричал я сердито,что же ты стоить закричать я сердито,S S S C S S F
99,батюшка петр андреич произнес он дрожащим голосом не умори меня с печали,батюшка петр андреич произнести он дрожать голос не уморить я с печаль,S S C S S S C S S S S F
100,свет ты мой послушай меня старика напиши этому разбойнику что ты пошутил что у нас и денег-то таких не водится,свет ты мой послушать я старик написать это разбойник что ты пошутить что у мы и деньга-то такой не водится,S S C S C C S S C S S C S S S S S S S F
101,скажи что тебе родители крепко-накрепко заказали не играть окроме как в орехи,сказать что ты родитель крепко-накрепко заказать не играть окроме как в орех,C S S S S S S C S S S F
102,полно врать прервал я строго подавай сюда деньги или я тебя взашей прогоню,полно врать прервать я строго подавать сюда деньга или я ты взашей прогнать,S C S S C S S S S S S S F
103,мне было жаль бедного старика но я хотел вырваться на волю и доказать что уж я не ребенок,я быть жаль бедный старик но я хотеть вырваться на воля и доказать что уж я не ребенок,S S S S C S S S S S S S C S S S S F
104,он явился с известием что лошади готовы,он явиться с известие что лошадь готовый,S S S C S S F
105,с неспокойной совестию и с безмолвным раскаянием выехал я из симбирска не простясь с моим учителем и не думая с ним уже когда-нибудь увидеться,с неспокойный совестие и с безмолвный раскаяние выехать я из симбирск не проститься с мой учитель и не думать с он уже когда-нибудь увидеться,S S S S S S S S S S C S S S S S S S S S S S S F
106,проигрыш мой по тогдашним ценам был немаловажен,проигрыш мой по тогдашний цена быть немаловажный,S C S S C S F
107,я не мог не признаться в душе что поведение мое в симбирском трактире было глупо и чувствовал себя виноватым перед савельичем,я не мочь не признаться в душа что поведение мой в симбирский трактир быть глупый и чувствовать себя виноватый перед савельич,S S S S S S C S S S S S S S C S S S S S F
108,старик угрюмо сидел на облучке отворотясь от меня и молчал изредка только покрякивая,старик угрюмо сидеть на облучок отворотясь от я и молчать изредка только покрякивая,S S S S C S S C S C S S F
109,наконец я сказал ему ну ну савельич полно помиримся виноват вижу сам что виноват,наконец я сказать он ну ну савельич полно помиримся виноватый видеть сам что виноватый,S S S C C C C C C C S C S F
110,я вчера напроказил а тебя напрасно обидел,я вчера напроказить а ты напрасно обидел,S S C S S S F
111,ну не сердись помиримся,ну не сердиться помириться,C S C F
112,эх батюшка петр андреич отвечал он с глубоким вздохом,эх батюшка петр андреевич отвечать он с глубокий вздох,C S S C S S S S F
113,сержусь-то я на самого себя сам я кругом виноват,сердиться-то я на сам себя сам я кругом виноватый,S S S S C S S S F
114,грех попутал вздумал забрести к дьячихе повидаться с кумою,грех попутать вздумать забрести к дьячиха повидаться с кума,S C S S S C S S F
115,так-то зашел к куме да засел в тюрьме,так-то зайти к кума да засесть в тюрьма,C S S C S S S F
116,как покажусь я на глаза господам что скажут они как узнают что дитя пьет и играет,как показаться я на глаз господин что сказать они как узнавать что дитя пить и играть,S S S S S C S S C S C S S S S F
117,чтоб утешить бедного савельича я дал ему слово впредь без его согласия не располагать ни одною копейкою,чтоб утешить бедный савельич я дать он слово впредь без его согласие не располагать ни один копейка,S S S C S S S S S S S S S S S S F
118,он мало-помалу успокоился хотя все еще изредка ворчал про себя качая головою сто рублей легко ли дело,он мало-помалу успокоиться хотя все еще изредка ворчать про себя качая голова сто рубль легко ли дело,S S C S S S S S S C S C S C S S F
119,вокруг меня простирались печальные пустыни пересеченные холмами и оврагами,вокруг я простираться печальный пустынь пересечь холм и овраг,S S S S C S S S F
120,кибитка ехала по узкой дороге или точнее по следу проложенному крестьянскими санями,кибитка ехать по узкий дорога или точный по след проложить крестьянский саня,S S S S C S S S C S S F
121,вдруг ямщик стал посматривать в сторону и наконец сняв шапку оборотился ко мне и сказал барин не прикажешь ли воротиться,вдруг ямщик стать посматривать в сторона и наконец снять шапка оборотиться к я и сказать барин не приказать ли воротиться,S S S S S S S C S C S S S S C C S S S F
122,время ненадежно ветер слегка подымается вишь как он сметает порошу,время ненадежно ветер слегка подыматься вишь как он сметать пороша,S C S S C C S S S F
123,я ничего не вижу кроме белой степи да ясного неба,я ничто не видеть кроме белый степь да ясный небо,S S S C S S S S S F
124,а вон вон это облачко,а вон вон это облачко,S C C S F
125,я увидел в самом деле на краю неба белое облачко которое принял было сперва за отдаленный холмик,я увидеть в сам дело на край небо белый облачко который принять быть сперва за отдаленный холмик,S S S S S S S S S C S S S S S S F
126,ямщик изъяснил мне что облачко предвещало буран,ямщик изъяснить я что облачко предвещать буран,S S C S S S F
127,я слыхал о тамошних метелях и знал что целые обозы бывали ими занесены,я слыхать о тамошний метель и знать что целый обоз бывать они занести,S S S S S S C S S S S S F
128,савельич согласно со мнением ямщика советовал воротиться,савельич согласно с мнение ямщик советовать воротиться,C S S S C S F
129,но ветер показался мне не силен я понадеялся добраться заблаговременно до следующей станции и велел ехать скорее,но ветер показаться я не сильный я понадеяться добраться заблаговременно до следующий станция и велеть ехать скорый,S S S S S C S S S S S S S S S S F
130,ямщик поскакал но все поглядывал на восток,ямщик поскакать но весь поглядывать на восток,S C S S S S F
131,облачко обратилось в белую тучу которая тяжело подымалась росла и постепенно облегала небо,облачко обратиться в белый туча который тяжело подымалась расти и постепенно облегать небо,S S S S C S S C S S S S F
132,пошел мелкий снег и вдруг повалил хлопьями,пойти мелкий снег и вдруг повалить хлопья,S S C S S S F
133,ветер завыл сделалась метель,ветер завыть сделаться метель,S C S F
134,ну барин закричал ямщик беда буран,ну барин закричать ямщик беда буран,C C S C C F
135,я выглянул из кибитки все было мрак и вихорь,я выглянуть из кибитка весь быть мрак и вихрь,S S S C S S S S F
136,ветер выл с такой свирепой выразительностию что казался одушевленным снег засыпал меня и савельича лошади шли шагом и скоро стали,ветер выть с такой свирепый выразительность что казаться одушевленный снег засыпать я и савельича лошадь идти шаг и скоро стать,S S S S S C S S C S S S S C S S C S S F
137,что же ты не едешь спросил я ямщика с нетерпением,что же ты не ехать спросить я ямщик с нетерпение,S S S S C S S S S F
138,да что ехать отвечал он слезая с облучка невесть и так куда заехали дороги нет и мгла кругом,да что ехать отвечать он слезать с облучка невесть и так куда заехать дорога нет и мгла круг,S S C S C S S C S S S S C S C S S F
139,лошади стояли понуря голову и изредка вздрагивая,лошадь стоять понурить голова и изредка вздрагивать,S C S S S S F
140,ямщик ходил кругом от нечего делать улаживая упряжь,ямщик ходить кругом от нечего делать улаживая упряжь,S S C S S S S F
141,савельич ворчал я глядел во все стороны надеясь увидеть хоть признак жила или дороги но ничего не мог различить кроме мутного кружения метели,савельич ворчать я глядеть в весь сторона надеяться увидеть хоть признак жить или дорога но ничто не мочь различить кроме мутный кружение метель,S C S S S S C S S S S S S C S S S S C S S S F
142,эй ямщик закричал я смотри что там такое чернеется,эй ямщик закричать я смотри что там такой чернеться,C C S C C S S S F
143,а бог знает барин сказал он садясь на свое место воз не воз дерево не дерево а кажется что шевелится,а бог знать барин сказать он садиться на свой место воз не воз дерево не дерево а казаться что шевелиться,S S C C S C S S S C S S C S S C S C S F
144,должно быть или волк или человек,должный быть или волк или человек,S C S C S F
145,я приказал ехать на незнакомый предмет который тотчас и стал подвигаться нам навстречу,я приказать ехать на незнакомый предмет который тотчас и стать подвигаться мы навстречу,S S S S S C S S S S S S F
146,гей добрый человек закричал ему ямщик,гей добрый человек закричать он ямщик,C S C S S F
147,скажи не знаешь ли где дорога,сказать не знать ли где дорога,C S S S S F
148,дорога-то здесь я стою на твердой полосе отвечал дорожный да что толку,дорога-то здесь я стоить на твердый полоса отвечать дорожный да что толк,S C S S S S C S C S S F
149,послушай мужичок сказал я ему знаешь ли ты эту сторону,послушать мужичок сказать я он знать ли ты этот сторона,C C S S C S S S S F
150,сторона мне знакомая отвечал дорожный слава богу исхожена и изъезжена вдоль и поперек,сторона я знакомый отвечать дорожный слава бог исходить и изъезжена вдоль и поперек,S S C S C S C S S S S S F
